,set3
0,4125.769043
1,4129.358887
2,4137.05127
3,4141.282227
4,4132.563965
5,4125.256348
6,4128.333496
7,4133.333496
8,4128.461426
9,4120.641113
10,4115.512695
11,4115.897461
12,4119.102539
13,4126.794922
14,4131.538574
15,4136.794922
16,4141.025879
17,4142.179688
18,4138.589844
19,4138.974121
20,4140.897461
21,4136.794922
22,4134.743652
23,4141.666504
24,4151.025879
25,4152.05127
26,4151.153809
27,4145.512695
28,4134.230957
29,4128.333496
30,4137.820313
31,4144.358887
32,4143.717773
33,4138.461426
34,4133.589844
35,4133.589844
36,4141.153809
37,4142.94873
38,4136.922852
39,4133.077148
40,4130.769043
41,4132.436035
42,4138.717773
43,4137.692383
44,4130.0
45,4135.128418
46,4145.641113
47,4151.282227
48,4153.333496
49,4153.974121
50,4150.897461
51,4160.256348
52,4160.32959
53,4160.402832
54,4160.476074
55,4160.549316
56,4160.622559
57,4160.695801
58,4160.769043
59,4161.922852
60,4155.641113
61,4149.102539
62,4147.307617
63,4144.487305
64,4129.358887
65,4129.358887
66,4128.846191
67,4127.94873
68,4127.179688
69,4128.461426
70,4124.615234
71,4120.0
72,4125.897461
73,4134.615234
74,4130.0
75,4126.794922
76,4124.230957
77,4124.358887
78,4128.846191
79,4131.538574
80,4129.487305
81,4133.077148
82,4132.179688
83,4128.205078
84,4131.153809
85,4136.538574
86,4137.563965
87,4133.077148
88,4128.717773
89,4126.410156
90,4129.102539
91,4129.743652
92,4130.384766
93,4129.358887
94,4129.615234
95,4131.153809
96,4138.974121
97,4147.94873
98,4151.282227
99,4142.94873
100,4137.692383
101,4138.717773
102,4139.102539
103,4137.307617
104,4137.820313
105,4139.743652
106,4137.436035
107,4135.512695
108,4129.102539
109,4125.512695
110,4125.128418
111,4127.692383
112,4133.974121
113,4137.692383
114,4128.846191
115,4124.358887
116,4130.0
117,4131.922852
118,4129.743652
119,4137.94873
120,4143.717773
121,4136.538574
122,4128.717773
123,4133.461426
124,4142.94873
125,4145.512695
126,4146.794922
127,4145.512695
128,4114.487305
129,4110.769043
130,4105.128418
131,4099.743652
132,4099.102539
133,4105.256348
134,4115.897461
135,4113.461426
136,4107.179688
137,4108.974121
138,4114.743652
139,4118.717773
140,4120.897461
141,4121.153809
142,4120.384766
143,4122.820313
144,4128.589844
145,4132.692383
146,4130.512695
147,4127.820313
148,4124.358887
149,4127.307617
150,4130.769043
151,4131.410156
152,4130.0
153,4134.871582
154,4133.717773
155,4127.307617
156,4129.358887
157,4132.563965
158,4129.102539
159,4129.487305
160,4127.436035
161,4115.128418
162,4117.179688
163,4129.615234
164,4128.846191
165,4123.205078
166,4133.077148
167,4143.077148
168,4149.358887
169,4144.743652
170,4135.256348
171,4131.922852
172,4136.794922
173,4136.025879
174,4129.487305
175,4126.282227
176,4128.333496
177,4130.512695
178,4130.256348
179,4134.615234
180,4138.077148
181,4136.922852
182,4134.871582
183,4131.282227
184,4124.358887
185,4126.794922
186,4132.436035
187,4138.974121
188,4144.487305
189,4143.846191
190,4132.820313
191,4128.589844
192,4126.410156
193,4127.692383
194,4124.102539
195,4116.153809
196,4116.153809
197,4123.333496
198,4126.538574
199,4126.282227
200,4123.205078
201,4125.512695
202,4130.256348
203,4133.205078
204,4132.05127
205,4132.94873
206,4127.820313
207,4127.179688
208,4135.641113
209,4135.256348
210,4124.102539
211,4126.666504
212,4134.230957
213,4128.717773
214,4125.256348
215,4125.769043
216,4117.94873
217,4115.897461
218,4130.512695
219,4137.820313
220,4132.692383
221,4127.436035
222,4131.153809
223,4133.077148
224,4135.897461
225,4137.94873
226,4136.922852
227,4135.641113
