,set1
0,4209.871582
1,4211.538574
2,4220.897461
3,4242.05127
4,4265.769043
5,4297.563965
6,4323.846191
7,4332.436035
8,4336.410156
9,4334.358887
10,4317.563965
11,4301.282227
12,4286.666504
13,4261.922852
14,4244.615234
15,4245.128418
16,4234.487305
17,4215.769043
18,4214.615234
19,4215.641113
20,4202.692383
21,4197.179688
22,4203.846191
23,4197.179688
24,4182.820313
25,4180.128418
26,4182.820313
27,4175.512695
28,4165.256348
29,4176.794922
30,4196.153809
31,4194.487305
32,4184.871582
33,4179.871582
34,4171.410156
35,4164.615234
36,4169.230957
37,4172.05127
38,4162.692383
39,4155.128418
40,4166.794922
41,4186.153809
42,4189.358887
43,4185.256348
44,4181.794922
45,4172.563965
46,4171.153809
47,4176.410156
48,4169.871582
49,4168.974121
50,4184.230957
51,4191.025879
52,4180.769043
53,4173.205078
54,4172.563965
55,4166.153809
56,4152.94873
57,4149.230957
58,4158.717773
59,4169.743652
60,4178.717773
61,4186.282227
62,4193.077148
63,4205.0
64,4003.846191
65,3999.871826
66,3998.589844
67,4006.666748
68,4009.358887
69,4008.461426
70,4003.718018
71,3988.205078
72,3970.384521
73,3960.128174
74,3962.820557
75,3976.794922
76,3988.076904
77,3985.641113
78,3976.923096
79,3969.743652
80,3969.358887
81,3974.230713
82,3969.102539
83,3958.589844
84,3958.461426
85,3960.384521
86,3948.205078
87,3939.615479
88,3943.333252
89,3937.94873
90,3920.897461
91,3912.94873
92,3909.102539
93,3899.615479
94,3896.281982
95,3896.025635
96,3894.102539
97,3900.512939
98,3910.897461
99,3906.794922
100,3890.641113
101,3887.435791
102,3892.307617
103,3886.538574
104,3874.487061
105,3870.641113
106,3874.871826
107,3878.974365
108,3873.333252
109,3868.333252
110,3876.153809
111,3886.410156
112,3887.05127
113,3882.820557
114,3876.794922
115,3877.05127
116,3882.692383
117,3874.743652
118,3865.256348
119,3873.461426
120,3886.666748
121,3889.102539
122,3888.589844
123,3891.666748
124,3888.589844
125,3879.743652
126,3876.281982
127,3881.410156
128,4258.974121
129,4272.692383
130,4277.436035
131,4276.153809
132,4279.615234
133,4280.641113
134,4278.461426
135,4280.128418
136,4281.153809
137,4280.0
138,4279.615234
139,4277.179688
140,4279.230957
141,4276.153809
142,4266.153809
143,4270.897461
144,4278.589844
145,4267.563965
146,4260.769043
147,4267.05127
148,4264.743652
149,4259.358887
150,4261.410156
151,4261.922852
152,4258.589844
153,4250.256348
154,4246.538574
155,4257.563965
156,4266.025879
157,4263.205078
158,4262.436035
159,4264.102539
160,4262.436035
161,4264.871582
162,4276.153809
163,4278.077148
164,4264.615234
165,4260.0
166,4265.769043
167,4255.512695
168,4241.538574
169,4253.205078
170,4268.333496
171,4264.102539
172,4260.128418
173,4260.641113
174,4251.025879
175,4243.589844
176,4252.05127
177,4263.077148
178,4265.0
179,4260.769043
180,4256.922852
181,4259.230957
182,4263.077148
183,4261.282227
184,4260.384766
185,4262.436035
186,4256.410156
187,4246.153809
188,4245.512695
189,4256.794922
190,4263.205078
191,4258.846191
192,4118.846191
193,4119.487305
194,4114.487305
195,4108.205078
196,4116.794922
197,4125.897461
198,4118.461426
199,4114.743652
200,4123.846191
201,4127.05127
202,4124.615234
203,4124.230957
204,4126.410156
205,4125.384766
206,4122.307617
207,4121.922852
208,4119.871582
209,4120.384766
210,4124.230957
211,4119.230957
212,4120.641113
213,4141.666504
214,4158.077148
215,4158.717773
216,4154.743652
217,4143.333496
218,4133.205078
219,4135.897461
220,4134.102539
221,4130.0
222,4134.871582
223,4140.0
224,4143.974121
225,4140.256348
226,4130.769043
227,4132.692383
228,4135.256348
229,4122.94873
230,4121.025879
231,4137.820313
232,4142.179688
233,4133.077148
234,4132.307617
235,4132.05127
236,4130.128418
237,4132.563965
238,4137.436035
239,4138.077148
240,4135.897461
241,4135.256348
242,4138.333496
243,4143.846191
244,4143.077148
245,4144.487305
246,4152.436035
247,4156.025879
248,4158.077148
249,4156.922852
250,4152.820313
251,4161.794922
252,4172.692383
253,4161.025879
254,4150.641113
255,4158.846191
256,4257.307617
257,4231.153809
258,4201.794922
259,4196.282227
260,4204.358887
261,4203.589844
262,4200.512695
263,4200.0
264,4189.871582
265,4171.922852
266,4162.05127
267,4169.871582
268,4175.769043
269,4163.077148
270,4159.358887
271,4168.974121
272,4164.743652
273,4153.717773
274,4148.846191
275,4139.615234
276,4134.871582
277,4138.333496
278,4128.333496
279,4117.94873
280,4125.897461
281,4128.846191
282,4126.153809
283,4142.179688
284,4157.563965
285,4141.282227
286,4121.025879
287,4126.922852
288,4140.256348
289,4141.922852
290,4141.922852
291,4152.05127
292,4156.794922
293,4145.256348
294,4144.743652
295,4155.641113
296,4146.666504
297,4130.512695
298,4138.974121
299,4153.846191
300,4158.205078
301,4159.871582
302,4158.205078
303,4154.358887
304,4156.410156
305,4152.692383
306,4139.230957
307,4138.589844
308,4159.743652
309,4182.05127
310,4183.333496
311,4173.717773
312,4169.230957
313,4169.871582
314,4171.538574
315,4164.358887
316,4153.717773
317,4157.179688
318,4165.641113
319,4162.94873
320,4145.256348
321,4138.846191
322,4140.897461
323,4151.410156
324,4161.282227
325,4173.205078
326,4174.743652
327,4173.846191
328,4187.307617
329,4194.615234
330,4180.512695
331,4170.256348
332,4168.333496
333,4151.025879
334,4135.641113
335,4145.256348
336,4147.820313
337,4133.589844
338,4136.410156
339,4147.179688
340,4141.410156
341,4131.794922
342,4129.743652
343,4127.820313
344,4125.384766
345,4121.410156
346,4120.769043
347,4123.461426
348,4121.666504
349,4126.794922
350,4141.794922
351,4145.128418
352,4139.743652
353,4136.794922
354,4132.179688
355,4130.769043
356,4132.692383
357,4128.077148
358,4121.153809
359,4121.922852
360,4131.153809
361,4140.641113
362,4144.230957
363,4144.358887
364,4144.230957
365,4138.717773
366,4136.282227
367,4138.846191
368,4134.743652
369,4132.307617
370,4137.94873
371,4140.384766
372,4137.820313
373,4137.307617
374,4139.358887
375,4137.94873
376,4128.461426
377,4122.436035
378,4127.179688
379,4134.487305
380,4145.897461
381,4155.0
382,4156.282227
383,4161.410156
384,4251.538574
385,4253.589844
386,4256.025879
387,4262.94873
388,4262.94873
389,4259.743652
390,4262.307617
391,4253.589844
392,4229.871582
393,4218.974121
394,4229.615234
395,4246.666504
396,4255.256348
397,4254.871582
398,4250.641113
399,4247.179688
400,4247.563965
401,4249.102539
402,4248.205078
403,4246.794922
404,4245.512695
405,4244.743652
406,4244.871582
407,4243.077148
408,4236.922852
409,4230.384766
410,4222.05127
411,4213.717773
412,4212.563965
413,4211.025879
414,4205.0
415,4200.641113
416,4202.563965
417,4205.384766
418,4206.794922
419,4206.153809
420,4193.846191
421,4183.974121
422,4190.512695
423,4195.0
424,4185.641113
425,4176.538574
426,4178.333496
427,4183.461426
428,4181.410156
429,4170.769043
430,4171.922852
431,4187.05127
432,4185.897461
433,4172.820313
434,4170.0
435,4173.205078
436,4171.025879
437,4166.794922
438,4165.897461
439,4166.153809
440,4167.436035
441,4168.461426
442,4166.410156
443,4167.436035
444,4169.358887
445,4160.769043
446,4152.05127
447,4161.666504
448,4108.205078
449,4112.563965
450,4110.769043
451,4112.436035
452,4118.846191
453,4122.692383
454,4124.102539
455,4120.128418
456,4110.256348
457,4110.128418
458,4121.282227
459,4123.077148
460,4115.641113
461,4110.128418
462,4106.282227
463,4107.820313
464,4108.974121
465,4100.384766
466,4093.461426
467,4096.794922
468,4095.128174
469,4086.666748
470,4091.538574
471,4099.487305
472,4096.282227
473,4093.205078
474,4093.974365
475,4098.589844
476,4105.128418
477,4105.769043
478,4102.307617
479,4105.256348
480,4107.179688
481,4105.256348
482,4111.282227
483,4115.512695
484,4107.563965
485,4102.179688
486,4108.974121
487,4107.563965
488,4094.358887
489,4097.307617
490,4113.333496
491,4114.358887
492,4105.641113
493,4105.641113
494,4107.563965
495,4106.153809
496,4110.897461
497,4119.230957
498,4122.692383
499,4116.538574
500,4111.025879
501,4118.077148
502,4124.487305
503,4122.307617
504,4122.563965
505,4126.025879
506,4121.153809
507,4110.641113
508,4108.717773
509,4122.05127
510,4138.333496
511,4137.436035
512,4121.153809
513,4125.128418
514,4122.436035
515,4114.102539
516,4117.436035
517,4124.615234
518,4120.128418
519,4116.282227
520,4128.846191
521,4136.538574
522,4129.230957
523,4128.077148
524,4136.538574
525,4136.538574
526,4127.820313
527,4124.358887
528,4121.025879
529,4122.05127
530,4122.820313
531,4110.769043
532,4111.922852
533,4133.717773
534,4144.230957
535,4140.128418
536,4142.563965
537,4136.282227
538,4121.794922
539,4122.179688
540,4126.282227
541,4125.512695
542,4129.743652
543,4137.436035
544,4140.0
545,4136.153809
546,4134.487305
547,4135.0
548,4128.974121
549,4117.307617
550,4117.05127
551,4131.410156
552,4135.897461
553,4125.641113
554,4120.384766
555,4122.563965
556,4122.179688
557,4121.025879
558,4125.128418
559,4125.897461
560,4124.871582
561,4128.589844
562,4135.769043
563,4139.871582
564,4138.589844
565,4139.487305
566,4140.0
567,4137.05127
568,4136.666504
569,4130.769043
570,4121.282227
571,4128.589844
572,4140.384766
573,4129.871582
574,4117.05127
575,4121.538574
576,4175.641113
577,4168.589844
578,4153.974121
579,4150.897461
580,4154.487305
581,4153.205078
582,4163.717773
583,4171.794922
584,4159.743652
585,4149.358887
586,4148.974121
587,4152.94873
588,4156.794922
589,4154.743652
590,4153.333496
591,4158.717773
592,4159.743652
593,4156.922852
594,4158.077148
595,4154.102539
596,4144.743652
597,4138.846191
598,4135.512695
599,4131.025879
600,4133.205078
601,4134.615234
602,4135.0
603,4146.153809
604,4158.974121
605,4158.333496
606,4147.94873
607,4137.820313
608,4137.820313
609,4152.179688
610,4159.358887
611,4151.282227
612,4152.05127
613,4155.897461
614,4150.384766
615,4144.102539
616,4140.0
617,4134.230957
618,4136.282227
619,4147.05127
620,4153.461426
621,4155.384766
622,4154.102539
623,4152.692383
624,4154.871582
625,4149.743652
626,4137.692383
627,4128.846191
628,4136.153809
629,4158.717773
630,4169.743652
631,4160.897461
632,4154.230957
633,4159.358887
634,4160.641113
635,4155.384766
636,4152.179688
637,4153.077148
638,4154.102539
639,4152.692383
640,4172.692383
641,4167.307617
642,4165.897461
643,4177.05127
644,4184.102539
645,4190.384766
646,4200.128418
647,4202.179688
648,4201.794922
649,4207.307617
650,4206.025879
651,4195.0
652,4185.128418
653,4171.410156
654,4161.666504
655,4166.922852
656,4167.179688
657,4155.0
658,4150.384766
659,4155.641113
660,4156.538574
661,4152.94873
662,4154.615234
663,4154.358887
