,set2
0,4101.538574
1,4107.307617
2,4104.102539
3,4102.179688
4,4108.077148
5,4108.717773
6,4105.128418
7,4112.94873
8,4121.282227
9,4119.102539
10,4116.794922
11,4121.538574
12,4123.974121
13,4119.615234
14,4121.666504
15,4134.102539
16,4141.922852
17,4140.0
18,4136.410156
19,4127.94873
20,4107.05127
21,4088.333252
22,4087.820557
23,4091.666748
24,4084.871826
25,4079.615479
26,4081.794922
27,4077.179443
28,4074.743652
29,4086.025635
30,4088.718018
31,4080.384521
32,4075.128174
33,4076.281982
34,4084.358887
35,4086.666748
36,4077.692383
37,4077.564209
38,4089.230713
39,4094.102539
40,4089.615479
41,4085.512939
42,4088.589844
43,4095.641113
44,4094.230713
45,4091.666748
46,4092.05127
47,4083.333252
48,4078.589844
49,4090.384521
50,4092.820557
51,4078.076904
52,4076.153809
53,4091.153809
54,4102.436035
55,4108.077148
56,4108.205078
57,4098.846191
58,4092.564209
59,4099.743652
60,4106.410156
61,4105.641113
62,4107.05127
63,4110.897461
64,4122.307617
65,4119.230957
66,4124.487305
67,4130.769043
68,4122.436035
69,4110.897461
70,4115.0
71,4124.615234
72,4124.487305
73,4121.410156
74,4119.487305
75,4119.487305
76,4127.692383
77,4137.179688
78,4139.743652
79,4140.128418
80,4138.461426
81,4136.025879
82,4135.384766
83,4134.871582
84,4133.717773
85,4132.05127
86,4125.256348
87,4120.384766
88,4124.358887
89,4125.0
90,4122.692383
91,4126.282227
92,4127.307617
93,4121.538574
94,4118.717773
95,4122.436035
96,4124.358887
97,4122.179688
98,4120.384766
99,4125.769043
100,4136.538574
101,4140.897461
102,4136.922852
103,4135.384766
104,4138.077148
105,4133.461426
106,4121.922852
107,4117.692383
108,4123.333496
109,4122.94873
110,4118.846191
111,4128.589844
112,4146.282227
113,4167.307617
114,4191.153809
115,4211.922852
116,4215.384766
117,4202.94873
118,4204.102539
119,4216.538574
120,4211.538574
121,4201.922852
122,4201.282227
123,4190.897461
124,4182.820313
125,4193.461426
126,4188.717773
127,4167.307617
128,4134.615234
129,4136.282227
130,4128.333496
131,4126.666504
132,4128.205078
133,4127.05127
134,4131.025879
135,4130.769043
136,4123.333496
137,4119.871582
138,4121.538574
139,4121.538574
140,4123.717773
141,4127.307617
142,4125.897461
143,4123.717773
144,4124.487305
145,4125.512695
146,4122.692383
147,4121.025879
148,4124.358887
149,4125.641113
150,4119.743652
151,4115.641113
152,4120.384766
153,4124.230957
154,4122.436035
155,4120.256348
156,4120.641113
157,4123.589844
158,4126.794922
159,4124.230957
160,4124.358887
161,4133.461426
162,4135.384766
163,4128.077148
164,4124.871582
165,4123.461426
166,4125.256348
167,4136.538574
168,4136.538574
169,4122.179688
170,4125.128418
171,4137.820313
172,4139.230957
173,4138.333496
174,4140.384766
175,4142.94873
176,4146.410156
177,4144.358887
178,4137.563965
179,4131.666504
180,4128.461426
181,4135.0
182,4139.487305
183,4127.05127
184,4121.538574
185,4128.461426
186,4126.282227
187,4125.384766
188,4135.128418
189,4140.384766
190,4139.230957
191,4140.769043
192,4109.871582
193,4120.0
194,4126.153809
195,4121.153809
196,4119.743652
197,4121.666504
198,4120.897461
199,4122.94873
200,4123.846191
201,4122.692383
202,4120.897461
203,4117.692383
204,4115.897461
205,4118.205078
206,4124.615234
207,4126.666504
208,4118.205078
209,4116.282227
210,4129.102539
211,4136.282227
212,4128.333496
213,4122.179688
214,4123.461426
215,4123.717773
216,4124.358887
217,4124.230957
218,4120.0
219,4120.512695
220,4126.282227
221,4126.025879
222,4122.179688
223,4126.410156
224,4127.436035
225,4123.974121
226,4130.512695
227,4139.230957
228,4137.436035
229,4132.820313
230,4133.717773
231,4137.179688
232,4139.102539
233,4138.974121
234,4138.717773
235,4139.230957
236,4133.717773
237,4128.205078
238,4131.410156
239,4137.563965
240,4137.563965
241,4133.589844
242,4133.589844
243,4138.846191
244,4135.256348
245,4120.769043
246,4121.666504
247,4148.974121
248,4160.512695
