,set2
0,4136.410156
1,4134.871582
2,4136.666504
3,4138.589844
4,4140.512695
5,4141.794922
6,4142.436035
7,4145.256348
8,4144.871582
9,4140.0
10,4138.589844
11,4137.820313
12,4135.641113
13,4135.384766
14,4128.589844
15,4119.230957
16,4119.871582
17,4125.384766
18,4130.897461
19,4138.077148
20,4138.846191
21,4136.666504
22,4143.077148
23,4145.512695
24,4137.94873
25,4137.179688
26,4147.692383
27,4154.230957
28,4154.615234
29,4153.717773
30,4146.666504
31,4138.461426
32,4138.974121
33,4139.871582
34,4133.205078
35,4130.897461
36,4139.743652
37,4145.897461
38,4141.282227
39,4145.897461
40,4162.692383
41,4163.077148
42,4151.794922
43,4152.307617
44,4158.205078
45,4154.615234
46,4148.589844
47,4142.94873
48,4139.615234
49,4138.077148
50,4135.256348
51,4137.179688
52,4141.282227
53,4139.358887
54,4135.897461
55,4137.179688
56,4137.307617
57,4129.230957
58,4122.820313
59,4124.615234
60,4127.436035
61,4130.897461
62,4137.179688
63,4141.025879
64,4147.692383
65,4133.461426
66,4128.077148
67,4133.974121
68,4138.077148
69,4135.512695
70,4136.282227
71,4140.384766
72,4140.256348
73,4142.05127
74,4149.102539
75,4154.358887
76,4156.922852
77,4157.05127
78,4146.922852
79,4136.794922
80,4141.025879
81,4144.743652
82,4138.846191
83,4134.102539
84,4137.05127
85,4137.820313
86,4129.487305
87,4125.897461
88,4135.897461
89,4142.563965
90,4138.717773
91,4138.717773
92,4142.436035
93,4143.077148
94,4136.410156
95,4131.666504
96,4137.05127
97,4136.922852
98,4126.282227
99,4121.153809
100,4124.615234
101,4130.512695
102,4132.692383
103,4126.666504
104,4120.512695
105,4123.205078
106,4129.358887
107,4133.589844
108,4134.871582
109,4137.179688
110,4135.384766
111,4127.179688
112,4128.846191
113,4138.589844
114,4139.230957
115,4134.230957
116,4128.461426
117,4120.769043
118,4118.974121
119,4120.512695
120,4120.128418
121,4124.615234
122,4128.461426
123,4126.282227
124,4125.641113
125,4127.820313
126,4126.025879
127,4125.0
128,4120.769043
129,4123.846191
130,4127.179688
131,4127.436035
132,4127.692383
133,4124.487305
134,4122.94873
135,4123.589844
136,4124.615234
137,4129.871582
138,4137.94873
139,4142.307617
140,4142.436035
141,4140.641113
142,4138.077148
143,4138.974121
144,4142.05127
145,4139.102539
146,4136.025879
147,4136.410156
148,4133.717773
149,4131.153809
150,4134.615234
151,4145.897461
152,4153.077148
153,4148.974121
154,4142.563965
155,4140.128418
156,4139.615234
157,4137.179688
158,4136.666504
159,4138.974121
160,4140.897461
161,4138.974121
162,4135.512695
163,4137.563965
164,4140.769043
165,4139.230957
166,4136.922852
167,4140.384766
168,4142.692383
169,4137.692383
170,4135.641113
171,4138.333496
172,4137.692383
173,4140.256348
174,4149.615234
175,4155.384766
176,4154.358887
177,4154.230957
178,4157.05127
179,4152.307617
180,4141.538574
181,4135.641113
182,4136.153809
183,4136.922852
184,4139.487305
185,4142.820313
186,4143.589844
187,4145.256348
188,4143.974121
189,4137.307617
190,4134.743652
191,4134.358887
192,4154.102539
193,4148.974121
194,4140.641113
195,4139.615234
196,4146.538574
197,4152.179688
198,4154.615234
199,4157.436035
200,4157.307617
201,4155.128418
202,4154.102539
203,4156.794922
204,4157.179688
205,4144.743652
206,4138.333496
207,4150.512695
208,4158.717773
209,4157.307617
210,4160.0
211,4159.358887
212,4151.282227
213,4149.871582
214,4151.538574
215,4151.922852
216,4153.974121
217,4155.384766
218,4154.102539
219,4152.436035
220,4160.897461
221,4168.974121
222,4160.897461
223,4151.025879
224,4153.589844
225,4157.563965
226,4153.974121
227,4151.025879
228,4152.179688
229,4148.717773
230,4140.128418
231,4137.436035
232,4141.153809
233,4144.102539
234,4149.615234
235,4156.538574
236,4155.512695
237,4145.384766
238,4130.769043
239,4122.820313
240,4121.922852
241,4120.641113
242,4120.0
243,4120.769043
244,4120.897461
245,4119.615234
246,4123.077148
247,4133.077148
248,4137.563965
249,4136.282227
250,4136.922852
251,4131.282227
252,4120.128418
253,4120.897461
