,set1
0,4006.025635
1,4003.589844
2,4004.615479
3,4003.076904
4,3993.718018
5,3993.076904
6,4008.974365
7,4013.589844
8,4008.461426
9,4015.128174
10,4012.05127
11,3999.615479
12,4014.871826
13,4039.487061
14,4039.487061
15,4028.974365
16,4025.897461
17,4021.281982
18,4015.0
19,4012.564209
20,4009.743652
21,4003.589844
22,4000.512939
23,4003.461426
24,4002.307617
25,4000.384521
26,4004.230713
27,4002.94873
28,4000.0
29,4013.333252
30,4031.025635
31,4031.281982
32,4030.0
33,4033.846191
34,4027.692383
35,4019.102539
36,4019.102539
37,4025.128174
38,4032.564209
39,4030.512939
40,4023.589844
41,4031.281982
42,4044.743652
43,4046.410156
44,4043.974365
45,4044.230713
46,4046.794922
47,4048.589844
48,4046.153809
49,4047.307617
50,4050.384521
51,4051.153809
52,4060.769287
53,4073.333252
54,4074.358887
55,4071.666748
56,4074.615479
57,4084.358887
58,4092.820557
59,4090.0
60,4093.846191
61,4108.461426
62,4100.512695
63,4084.358887
64,4203.717773
65,4202.05127
66,4189.871582
67,4186.282227
68,4179.230957
69,4166.153809
70,4164.871582
71,4166.794922
72,4165.641113
73,4170.769043
74,4169.743652
75,4156.922852
76,4153.589844
77,4166.153809
78,4173.461426
79,4170.384766
80,4170.256348
81,4170.256348
82,4170.384766
83,4167.05127
84,4159.871582
85,4156.666504
86,4150.0
87,4141.282227
88,4141.922852
89,4143.333496
90,4138.461426
91,4138.717773
92,4130.0
93,4107.820313
94,4104.230957
95,4113.077148
96,4108.974121
97,4103.205078
98,4103.461426
99,4100.128418
100,4093.718018
101,4084.358887
102,4077.692383
103,4081.025635
104,4079.615479
105,4066.538574
106,4058.718018
107,4058.076904
108,4061.153809
109,4071.666748
110,4080.897461
111,4067.94873
112,4053.846191
113,4069.743652
114,4076.794922
115,4056.025635
116,4053.846191
117,4065.769287
118,4058.205078
119,4051.538574
120,4058.589844
121,4061.025635
122,4058.205078
123,4056.538574
124,4062.820557
125,4073.461426
126,4066.281982
127,4055.384521
128,3977.564209
129,3983.333252
130,3988.974365
131,3983.205078
132,3971.923096
133,3978.974365
134,3990.128174
135,3987.94873
136,3987.05127
137,3985.641113
138,3970.769287
139,3957.307617
140,3958.718018
141,3967.05127
142,3970.897461
143,3972.94873
144,3973.718018
145,3966.410156
146,3958.333252
147,3956.794922
148,3956.794922
149,3962.692383
150,3967.94873
151,3963.461426
152,3952.692383
153,3944.230713
154,3949.230713
155,3959.487061
156,3953.461426
157,3946.410156
158,3955.769287
159,3959.358887
160,3952.179443
161,3951.538574
162,3954.358887
163,3958.333252
164,3960.512939
165,3959.102539
166,3958.846191
167,3952.94873
168,3951.281982
169,3964.358887
170,3970.256348
171,3964.871826
172,3969.487061
173,3976.666748
174,3973.461426
175,3970.384521
176,3971.153809
177,3970.641113
178,3972.692383
179,3974.358887
180,3975.512939
181,3977.564209
182,3983.076904
183,3994.871826
184,4002.94873
185,4002.692383
186,4004.871826
187,4003.846191
188,4000.512939
189,4005.769287
190,4010.512939
191,4006.153809
192,4153.077148
193,4154.487305
194,4151.794922
195,4152.307617
196,4167.307617
197,4180.641113
198,4176.410156
199,4167.563965
200,4169.487305
201,4177.563965
202,4188.846191
203,4200.0
204,4200.512695
205,4196.153809
206,4200.512695
207,4200.897461
208,4197.307617
209,4206.922852
210,4220.0
211,4217.436035
212,4215.641113
213,4224.230957
214,4230.128418
215,4238.461426
216,4249.358887
217,4252.436035
218,4254.615234
219,4260.0
220,4266.538574
221,4278.333496
222,4288.846191
223,4287.179688
224,4290.769043
225,4298.846191
226,4296.025879
227,4297.436035
228,4307.307617
229,4317.94873
230,4331.410156
231,4335.512695
232,4328.077148
233,4331.794922
234,4343.205078
235,4353.846191
236,4363.333496
237,4360.641113
238,4356.282227
239,4367.307617
240,4387.05127
241,4401.025879
242,4403.717773
243,4401.282227
244,4407.563965
245,4418.974121
246,4426.410156
247,4438.205078
248,4450.897461
249,4459.743652
250,4470.384766
251,4477.307617
252,4475.897461
253,4468.846191
254,4468.333496
255,4472.179688
256,4293.333496
257,4292.436035
258,4293.846191
259,4293.333496
260,4288.589844
261,4283.205078
262,4283.461426
263,4290.0
264,4300.384766
265,4297.692383
266,4282.179688
267,4285.0
268,4296.410156
269,4286.538574
270,4276.282227
271,4282.436035
272,4281.922852
273,4276.025879
274,4277.94873
275,4279.102539
276,4280.0
277,4276.538574
278,4267.436035
279,4269.615234
280,4276.922852
281,4272.179688
282,4263.974121
283,4259.871582
284,4250.256348
285,4244.743652
286,4244.871582
287,4235.897461
288,4230.641113
289,4230.0
290,4220.512695
291,4213.717773
292,4218.589844
293,4221.410156
294,4216.794922
295,4214.487305
296,4215.641113
297,4212.563965
298,4211.025879
299,4218.846191
300,4215.128418
301,4201.282227
302,4205.0
303,4209.358887
304,4198.333496
