,set3
0,4139.102539
1,4137.692383
2,4138.077148
3,4136.025879
4,4134.358887
5,4136.538574
6,4136.282227
7,4124.871582
8,4116.153809
9,4128.333496
10,4137.05127
11,4127.692383
12,4128.205078
13,4139.871582
14,4137.820313
15,4127.436035
16,4124.358887
17,4126.282227
18,4132.436035
19,4133.461426
20,4126.538574
21,4127.563965
22,4135.641113
23,4138.461426
24,4133.205078
25,4126.025879
26,4128.974121
27,4138.461426
28,4134.487305
29,4125.897461
30,4131.922852
31,4138.589844
32,4137.179688
33,4142.94873
34,4142.307617
35,4128.846191
36,4129.743652
37,4141.794922
38,4140.384766
39,4135.769043
40,4139.358887
41,4140.384766
42,4139.102539
43,4133.846191
44,4122.820313
45,4127.05127
46,4142.05127
47,4136.153809
48,4125.641113
49,4132.94873
50,4132.563965
51,4130.0
52,4145.897461
53,4150.897461
54,4140.128418
55,4142.692383
56,4144.358887
57,4134.102539
58,4135.0
59,4140.256348
60,4135.384766
61,4135.769043
62,4141.410156
63,4135.384766
64,4138.333496
65,4144.487305
66,4143.717773
67,4142.94873
68,4148.846191
69,4144.743652
70,4136.282227
71,4138.333496
72,4142.307617
73,4141.538574
74,4139.743652
75,4140.384766
76,4144.358887
77,4152.436035
78,4155.769043
79,4147.436035
80,4137.94873
81,4137.820313
82,4140.0
83,4140.512695
84,4143.205078
85,4143.461426
86,4135.128418
87,4129.615234
88,4130.0
89,4130.384766
90,4128.846191
91,4122.692383
92,4118.717773
93,4123.077148
94,4125.128418
95,4120.897461
96,4119.487305
97,4121.538574
98,4122.307617
99,4124.871582
100,4124.871582
101,4120.128418
102,4120.128418
103,4127.307617
104,4130.641113
105,4129.871582
106,4131.153809
107,4130.384766
108,4123.333496
109,4118.846191
110,4121.666504
111,4125.256348
112,4126.666504
113,4126.410156
114,4129.230957
115,4135.512695
116,4140.0
117,4138.846191
118,4130.256348
119,4125.512695
120,4133.589844
121,4136.153809
122,4128.333496
123,4131.410156
124,4138.333496
125,4131.922852
126,4123.589844
127,4117.307617
128,4096.538574
129,4098.846191
130,4101.538574
131,4102.179688
132,4108.205078
133,4118.717773
134,4121.282227
135,4118.717773
136,4119.487305
137,4117.94873
138,4113.333496
139,4107.820313
140,4105.641113
141,4107.563965
142,4109.743652
143,4113.077148
144,4116.025879
145,4113.846191
146,4111.025879
147,4114.615234
148,4120.256348
149,4118.589844
150,4109.743652
151,4102.94873
152,4104.102539
153,4107.179688
154,4106.025879
155,4102.563965
156,4105.384766
157,4111.794922
158,4111.794922
159,4104.487305
160,4104.743652
161,4108.974121
162,4104.358887
163,4100.897461
164,4100.256348
165,4093.589844
166,4093.846191
167,4100.641113
168,4096.538574
169,4093.589844
170,4107.692383
171,4120.769043
172,4118.974121
173,4107.94873
174,4098.846191
175,4100.384766
176,4106.538574
177,4107.563965
178,4107.692383
179,4107.436035
180,4107.05127
181,4116.794922
182,4122.179688
183,4110.641113
184,4109.102539
185,4121.922852
186,4123.846191
187,4117.307617
188,4117.820313
189,4118.974121
190,4114.102539
191,4107.179688
192,4135.769043
193,4135.256348
194,4135.128418
195,4135.128418
196,4135.512695
197,4125.512695
198,4113.589844
199,4113.589844
200,4124.615234
201,4134.615234
202,4135.769043
203,4130.384766
204,4126.282227
205,4125.769043
206,4124.487305
207,4125.256348
208,4127.436035
209,4133.461426
210,4147.179688
211,4158.205078
212,4162.05127
213,4164.358887
214,4168.589844
215,4171.282227
216,4171.922852
217,4171.794922
218,4170.384766
219,4170.897461
220,4171.410156
221,4172.436035
222,4171.282227
223,4164.615234
224,4165.256348
225,4168.461426
226,4160.0
227,4151.153809
228,4148.205078
229,4143.077148
230,4138.974121
231,4138.077148
232,4140.641113
233,4151.282227
234,4156.538574
235,4151.922852
236,4156.666504
237,4160.897461
238,4150.0
239,4141.794922
240,4141.794922
241,4139.230957
242,4137.563965
243,4139.230957
244,4139.230957
245,4139.102539
246,4139.743652
247,4138.974121
248,4136.153809
249,4128.461426
250,4121.153809
251,4121.153809
252,4121.025879
253,4122.94873
254,4125.256348
255,4115.641113
256,4120.769043
257,4131.025879
258,4137.05127
259,4130.384766
260,4125.641113
261,4127.307617
262,4132.692383
263,4137.563965
264,4130.0
265,4118.077148
266,4127.307617
267,4141.922852
268,4134.230957
269,4125.128418
270,4132.563965
271,4139.615234
272,4135.897461
273,4136.538574
274,4141.282227
275,4138.717773
276,4135.128418
277,4136.922852
278,4139.230957
279,4136.794922
280,4136.153809
281,4135.769043
282,4127.307617
283,4127.307617
284,4135.256348
285,4130.512695
286,4127.692383
287,4137.94873
288,4139.871582
289,4133.846191
290,4136.153809
291,4139.487305
292,4140.256348
293,4140.641113
294,4137.692383
295,4134.871582
296,4137.179688
297,4139.871582
298,4135.0
299,4127.179688
300,4131.538574
301,4139.358887
302,4131.666504
303,4127.179688
304,4133.077148
305,4132.436035
306,4129.230957
307,4133.974121
308,4138.974121
309,4134.358887
310,4128.974121
311,4131.282227
312,4141.410156
313,4151.153809
314,4151.282227
315,4145.256348
316,4138.974121
317,4139.871582
318,4139.102539
319,4134.102539
320,4140.256348
321,4141.153809
322,4135.641113
323,4135.641113
324,4133.717773
325,4132.179688
326,4136.794922
327,4131.410156
328,4122.179688
329,4127.820313
330,4139.230957
331,4138.461426
332,4130.769043
333,4132.179688
334,4136.922852
335,4134.871582
336,4133.205078
337,4134.358887
338,4133.717773
339,4135.897461
340,4138.205078
341,4136.922852
342,4137.563965
343,4135.0
344,4129.487305
345,4132.692383
346,4138.333496
347,4139.615234
348,4139.102539
349,4138.461426
350,4138.077148
351,4140.384766
352,4147.179688
353,4152.05127
354,4145.769043
355,4136.410156
356,4138.333496
357,4144.615234
358,4148.589844
359,4151.538574
360,4152.692383
361,4150.897461
362,4147.94873
363,4142.563965
364,4139.487305
365,4142.05127
366,4141.410156
367,4137.307617
368,4138.205078
369,4137.692383
370,4132.692383
371,4138.333496
372,4154.358887
373,4156.922852
374,4150.769043
375,4153.846191
376,4152.05127
377,4138.077148
378,4135.128418
379,4141.922852
380,4141.794922
381,4141.410156
382,4143.077148
383,4132.436035
384,4120.897461
385,4125.0
386,4129.230957
387,4126.922852
388,4127.820313
389,4129.615234
390,4124.358887
391,4121.025879
392,4122.05127
393,4126.666504
394,4132.94873
395,4137.820313
396,4140.256348
397,4141.538574
398,4141.410156
399,4136.794922
400,4131.666504
401,4126.538574
402,4123.974121
403,4129.743652
404,4136.025879
405,4138.077148
406,4137.563965
407,4139.102539
408,4138.589844
409,4131.282227
410,4122.94873
411,4119.743652
412,4121.153809
413,4120.897461
414,4119.871582
415,4121.025879
416,4121.538574
417,4120.128418
418,4122.692383
419,4131.922852
420,4133.461426
421,4128.077148
422,4130.0
423,4134.743652
424,4135.384766
425,4138.974121
426,4141.153809
427,4132.94873
428,4128.461426
429,4135.128418
430,4141.025879
431,4138.077148
432,4135.897461
433,4140.512695
434,4140.512695
435,4138.974121
436,4148.077148
437,4158.461426
438,4155.512695
439,4148.589844
440,4150.128418
441,4151.794922
442,4150.897461
443,4157.563965
444,4158.717773
445,4142.820313
446,4133.974121
447,4141.410156
448,4108.077148
449,4106.153809
450,4101.666504
451,4107.563965
452,4119.615234
453,4127.05127
454,4126.922852
455,4122.820313
456,4119.487305
457,4122.692383
458,4130.128418
459,4129.615234
460,4121.666504
461,4120.256348
462,4129.871582
463,4138.461426
464,4137.94873
465,4134.743652
466,4135.512695
467,4135.256348
468,4129.615234
469,4124.487305
470,4125.0
471,4124.871582
472,4119.871582
473,4119.102539
474,4120.641113
475,4119.871582
476,4129.358887
477,4138.589844
478,4126.282227
479,4117.307617
480,4130.0
481,4135.641113
482,4125.384766
483,4119.871582
484,4122.05127
485,4118.974121
486,4112.05127
487,4114.230957
488,4120.512695
489,4121.922852
490,4128.589844
491,4140.641113
492,4141.922852
493,4135.0
494,4130.769043
495,4128.077148
496,4125.256348
497,4126.153809
498,4134.230957
499,4138.974121
500,4133.333496
501,4132.820313
502,4132.692383
503,4124.358887
504,4126.666504
505,4140.641113
506,4142.820313
507,4132.307617
508,4130.384766
509,4129.487305
510,4121.025879
511,4124.743652
512,4123.589844
513,4123.461426
514,4111.666504
515,4113.589844
516,4127.179688
517,4121.153809
518,4107.692383
519,4114.230957
520,4123.461426
521,4120.641113
522,4118.205078
523,4123.461426
524,4128.974121
525,4123.461426
526,4114.871582
527,4117.563965
528,4125.256348
529,4129.358887
530,4141.538574
531,4155.897461
532,4156.538574
533,4153.974121
534,4158.077148
535,4164.358887
536,4171.153809
537,4173.333496
538,4164.358887
539,4159.743652
540,4170.256348
541,4176.794922
542,4164.743652
543,4152.436035
544,4153.717773
545,4156.922852
546,4157.692383
547,4153.717773
548,4144.743652
549,4137.05127
550,4135.256348
551,4142.05127
552,4155.641113
553,4155.512695
554,4139.743652
555,4140.769043
556,4157.436035
557,4159.358887
558,4145.384766
559,4135.0
560,4136.922852
561,4140.897461
562,4133.974121
563,4127.563965
564,4133.333496
565,4139.871582
566,4134.487305
567,4125.641113
568,4122.179688
569,4125.256348
570,4131.538574
571,4129.230957
572,4121.538574
573,4123.333496
574,4126.410156
575,4118.205078
576,4118.077148
577,4119.102539
578,4133.205078
579,4139.230957
580,4124.743652
581,4116.025879
582,4131.282227
583,4140.512695
584,4128.589844
585,4121.282227
586,4126.794922
587,4129.230957
588,4122.563965
589,4119.487305
590,4123.589844
591,4132.563965
592,4142.692383
593,4143.974121
594,4135.641113
595,4126.922852
596,4126.410156
597,4133.846191
598,4140.128418
599,4134.871582
600,4124.743652
601,4118.974121
602,4116.153809
603,4122.820313
604,4135.897461
605,4138.717773
606,4136.538574
607,4141.410156
608,4143.717773
609,4139.743652
610,4138.717773
611,4141.410156
612,4142.436035
613,4140.384766
614,4137.94873
615,4136.666504
616,4136.666504
617,4139.230957
618,4141.153809
619,4138.974121
620,4137.692383
621,4138.974121
622,4137.94873
623,4140.769043
624,4147.05127
625,4139.871582
626,4125.641113
627,4123.717773
628,4125.897461
629,4116.538574
630,4114.871582
631,4125.0
632,4124.871582
633,4125.512695
634,4137.563965
635,4142.820313
636,4138.846191
637,4140.128418
638,4133.717773
639,4115.769043
640,4141.410156
641,4145.256348
642,4138.974121
643,4134.871582
644,4137.05127
645,4137.94873
646,4137.692383
647,4137.05127
648,4135.256348
649,4134.230957
650,4137.307617
651,4141.282227
652,4142.563965
653,4141.410156
654,4141.922852
655,4148.077148
656,4151.538574
657,4142.820313
658,4135.256348
659,4142.436035
660,4145.256348
661,4138.333496
662,4140.769043
663,4144.487305
664,4139.743652
665,4137.820313
666,4140.641113
667,4142.563965
668,4141.794922
669,4140.641113
670,4140.384766
671,4139.487305
672,4144.487305
673,4150.128418
674,4143.717773
675,4133.589844
676,4136.025879
677,4145.512695
678,4151.666504
679,4154.871582
680,4150.384766
681,4145.0
682,4144.102539
683,4140.897461
684,4136.153809
685,4135.512695
686,4139.230957
687,4135.897461
688,4134.615234
689,4145.641113
690,4153.589844
691,4151.794922
692,4153.589844
693,4158.205078
694,4155.128418
695,4153.205078
696,4155.128418
697,4150.384766
698,4148.205078
699,4150.641113
700,4151.153809
701,4153.461426
702,4152.692383
703,4140.769043
704,4151.794922
705,4155.0
706,4149.487305
707,4144.487305
708,4152.563965
709,4152.692383
710,4139.358887
711,4134.102539
712,4138.461426
713,4143.205078
714,4145.384766
715,4147.05127
716,4150.769043
717,4156.153809
718,4155.769043
719,4152.05127
720,4152.820313
721,4149.871582
722,4140.897461
723,4138.717773
724,4143.589844
725,4141.922852
726,4135.897461
727,4136.922852
728,4137.820313
729,4137.436035
730,4137.307617
731,4135.641113
732,4136.410156
