,set2
0,4126.538574
1,4130.512695
2,4128.205078
3,4128.205078
4,4128.589844
5,4126.025879
6,4123.974121
7,4125.384766
8,4123.974121
9,4122.307617
10,4124.230957
11,4124.743652
12,4123.974121
13,4129.487305
14,4132.94873
15,4126.025879
16,4121.025879
17,4125.769043
18,4127.94873
19,4122.820313
20,4125.641113
21,4135.641113
22,4137.179688
23,4138.846191
24,4146.922852
25,4144.487305
26,4134.230957
27,4135.641113
28,4139.358887
29,4130.384766
30,4123.077148
31,4129.615234
32,4138.077148
33,4139.743652
34,4142.436035
35,4145.128418
36,4141.922852
37,4137.820313
38,4137.563965
39,4138.461426
40,4137.179688
41,4137.179688
42,4139.102539
43,4142.307617
44,4150.897461
45,4157.05127
46,4150.769043
47,4140.512695
48,4137.94873
49,4142.563965
50,4146.538574
51,4147.179688
52,4149.358887
53,4149.102539
54,4147.05127
55,4150.512695
56,4156.666504
57,4155.0
58,4151.153809
59,4155.128418
60,4151.538574
61,4140.384766
62,4141.666504
63,4153.974121
64,4141.410156
65,4138.077148
66,4139.871582
67,4140.128418
68,4137.179688
69,4136.666504
70,4143.717773
71,4148.717773
72,4141.538574
73,4134.743652
74,4139.230957
75,4141.153809
76,4138.077148
77,4137.307617
78,4131.538574
79,4126.794922
80,4133.077148
81,4139.102539
82,4136.922852
83,4142.94873
84,4152.563965
85,4152.820313
86,4150.641113
87,4148.077148
88,4143.333496
89,4139.102539
90,4138.974121
91,4144.615234
92,4152.820313
93,4156.282227
94,4154.358887
95,4153.461426
96,4153.589844
97,4153.974121
98,4152.692383
99,4152.563965
100,4156.666504
101,4155.769043
102,4152.436035
103,4153.717773
104,4153.717773
105,4152.05127
106,4154.102539
107,4153.717773
108,4151.153809
109,4153.974121
110,4148.717773
111,4139.358887
112,4145.769043
113,4152.307617
114,4143.333496
115,4136.538574
116,4141.538574
117,4143.077148
118,4140.897461
119,4141.153809
120,4140.0
121,4137.307617
122,4135.769043
123,4136.410156
124,4136.025879
125,4136.025879
126,4140.512695
127,4142.94873
128,4136.794922
129,4134.230957
130,4138.205078
131,4141.153809
132,4142.179688
133,4144.358887
134,4143.077148
135,4138.974121
136,4135.256348
137,4128.846191
138,4124.871582
139,4131.666504
140,4138.333496
141,4136.794922
142,4135.769043
143,4139.615234
144,4141.025879
145,4138.974121
146,4138.333496
147,4139.871582
148,4142.179688
149,4140.897461
150,4137.820313
151,4136.794922
152,4137.05127
153,4138.717773
154,4142.05127
155,4140.897461
156,4138.077148
157,4139.358887
158,4134.102539
159,4122.692383
160,4121.025879
161,4124.358887
162,4120.512695
163,4118.205078
164,4122.94873
165,4125.641113
166,4124.743652
167,4124.615234
168,4125.897461
169,4126.794922
170,4125.128418
171,4122.179688
172,4120.641113
173,4120.641113
174,4119.743652
175,4117.820313
176,4120.769043
177,4121.410156
178,4112.563965
179,4110.769043
180,4120.128418
181,4124.487305
182,4119.487305
183,4114.487305
184,4109.487305
185,4107.05127
186,4111.153809
187,4111.153809
188,4107.307617
189,4112.692383
190,4122.307617
191,4123.077148
192,4128.333496
193,4121.410156
194,4123.077148
195,4130.641113
196,4130.384766
197,4125.384766
198,4123.205078
199,4123.205078
200,4125.256348
201,4127.436035
202,4125.641113
203,4128.333496
204,4136.282227
205,4135.897461
206,4128.846191
207,4124.230957
208,4130.512695
209,4139.743652
210,4135.897461
211,4130.0
212,4134.230957
213,4138.333496
214,4138.205078
215,4139.743652
216,4137.692383
217,4129.358887
218,4122.179688
219,4125.769043
220,4135.769043
221,4138.077148
222,4131.410156
223,4131.025879
224,4136.922852
225,4137.05127
226,4136.025879
227,4139.358887
228,4141.025879
229,4137.94873
230,4138.077148
231,4139.102539
232,4137.436035
233,4140.128418
234,4141.153809
235,4137.307617
236,4137.307617
237,4140.384766
238,4138.589844
239,4135.769043
240,4138.846191
241,4141.794922
242,4141.538574
243,4144.487305
244,4141.666504
245,4129.487305
246,4128.974121
247,4138.077148
248,4134.487305
249,4125.0
250,4121.922852
251,4126.153809
252,4136.666504
253,4142.05127
254,4136.794922
255,4135.897461
256,4139.358887
257,4132.307617
258,4133.974121
259,4136.282227
260,4134.743652
261,4135.128418
262,4138.205078
