,set3
0,4121.282227
1,4127.692383
2,4130.256348
3,4126.025879
4,4125.641113
5,4123.846191
6,4122.94873
7,4126.153809
8,4123.205078
9,4111.282227
10,4107.563965
11,4112.820313
12,4107.307617
13,4098.205078
14,4103.333496
15,4111.153809
16,4109.871582
17,4107.179688
18,4109.358887
19,4106.538574
20,4095.128174
21,4091.794922
22,4101.666504
23,4106.666504
24,4102.820313
25,4104.230957
26,4102.820313
27,4104.102539
28,4112.563965
29,4110.897461
30,4103.333496
31,4101.153809
32,4104.743652
33,4104.230957
34,4098.717773
35,4100.128418
36,4104.743652
37,4095.512939
38,4087.564209
39,4100.256348
40,4108.846191
41,4102.820313
42,4099.743652
43,4099.102539
44,4095.512939
45,4096.410156
46,4101.922852
47,4099.230957
48,4084.615479
49,4075.512939
50,4093.974365
51,4110.641113
52,4100.897461
53,4089.615479
54,4089.743652
55,4085.256348
56,4079.871826
57,4090.769287
58,4095.641113
59,4084.230713
60,4080.769287
61,4087.94873
62,4083.076904
63,4073.205078
64,4139.230957
65,4135.256348
66,4128.077148
67,4130.128418
68,4132.692383
69,4120.384766
70,4115.512695
71,4127.94873
72,4130.128418
73,4128.461426
74,4141.025879
75,4143.717773
76,4132.820313
77,4137.05127
78,4156.025879
79,4157.563965
80,4146.794922
81,4148.589844
82,4146.153809
83,4131.153809
84,4131.666504
85,4142.692383
86,4139.487305
87,4135.0
88,4142.179688
89,4141.922852
90,4135.0
91,4137.436035
92,4143.846191
93,4137.307617
94,4128.333496
95,4134.743652
96,4137.692383
97,4136.025879
98,4140.512695
99,4140.769043
100,4142.692383
101,4151.538574
102,4148.205078
103,4131.794922
104,4124.871582
105,4131.153809
106,4141.153809
107,4140.256348
108,4127.563965
109,4121.666504
110,4127.692383
111,4133.717773
112,4139.871582
113,4143.589844
114,4142.05127
115,4137.94873
116,4133.461426
117,4133.461426
118,4143.717773
119,4152.692383
120,4144.230957
121,4136.794922
122,4142.436035
123,4141.794922
124,4135.256348
125,4128.589844
126,4121.410156
127,4125.256348
128,4137.94873
129,4137.179688
130,4144.230957
131,4148.461426
132,4137.307617
133,4126.025879
134,4128.974121
135,4133.077148
136,4125.384766
137,4124.358887
138,4135.641113
139,4135.0
140,4128.974121
141,4138.717773
142,4147.692383
143,4142.05127
144,4129.615234
145,4120.512695
146,4123.333496
147,4135.128418
148,4138.205078
149,4136.794922
150,4140.128418
151,4139.230957
152,4133.846191
153,4132.436035
154,4136.410156
155,4137.179688
156,4132.05127
157,4130.384766
158,4132.307617
159,4125.512695
160,4124.615234
161,4134.743652
162,4139.102539
163,4147.563965
164,4157.436035
165,4147.05127
166,4136.025879
167,4142.436035
168,4142.307617
169,4139.487305
170,4143.461426
171,4144.102539
172,4144.230957
173,4146.666504
174,4146.025879
175,4144.230957
176,4143.974121
177,4143.717773
178,4147.436035
179,4156.025879
180,4158.461426
181,4153.974121
182,4153.717773
183,4159.743652
184,4153.333496
185,4138.846191
186,4134.743652
187,4139.102539
188,4146.153809
189,4149.230957
190,4141.153809
191,4128.717773
192,4141.282227
193,4138.589844
194,4139.230957
195,4142.436035
196,4148.077148
197,4150.256348
198,4146.410156
199,4143.717773
200,4139.743652
201,4136.666504
202,4137.307617
203,4137.307617
204,4139.871582
205,4147.436035
206,4151.282227
207,4148.461426
208,4148.846191
209,4149.615234
210,4144.743652
211,4142.820313
212,4151.153809
213,4158.205078
214,4156.794922
215,4153.974121
216,4155.769043
217,4160.128418
218,4161.922852
219,4153.974121
220,4146.153809
221,4148.717773
