,set3
0,4131.538574
1,4121.025879
2,4124.358887
3,4134.743652
4,4130.384766
5,4119.230957
6,4124.358887
7,4139.102539
8,4134.102539
9,4123.077148
10,4133.205078
11,4138.333496
12,4123.974121
13,4117.692383
14,4124.487305
15,4129.230957
16,4127.436035
17,4122.307617
18,4123.461426
19,4127.563965
20,4124.615234
21,4121.153809
22,4119.615234
23,4120.128418
24,4120.256348
25,4114.743652
26,4115.897461
27,4117.05127
28,4108.974121
29,4111.025879
30,4125.384766
31,4125.384766
32,4116.410156
33,4127.179688
34,4138.333496
35,4130.128418
36,4120.769043
37,4121.666504
38,4122.692383
39,4120.512695
40,4123.461426
41,4124.358887
42,4122.436035
43,4121.794922
44,4124.230957
45,4127.436035
46,4121.538574
47,4118.589844
48,4130.897461
49,4138.077148
50,4130.256348
51,4126.282227
52,4129.102539
53,4125.256348
54,4118.974121
55,4120.384766
56,4125.897461
57,4127.692383
58,4122.94873
59,4119.615234
60,4119.615234
61,4117.307617
62,4120.256348
63,4127.05127
64,4140.256348
65,4143.205078
66,4151.410156
67,4154.615234
68,4155.256348
69,4156.666504
70,4148.589844
71,4138.717773
72,4137.307617
73,4139.102539
74,4140.128418
75,4141.538574
76,4147.692383
77,4151.666504
78,4144.743652
79,4135.641113
80,4135.641113
81,4142.94873
82,4146.410156
83,4137.563965
84,4134.615234
85,4149.615234
86,4153.333496
87,4144.487305
88,4143.974121
89,4141.922852
90,4140.641113
91,4151.282227
92,4155.641113
93,4150.256348
94,4152.94873
95,4158.333496
96,4156.025879
97,4151.794922
98,4152.692383
99,4155.128418
100,4153.205078
101,4151.025879
102,4152.820313
103,4155.641113
104,4155.0
105,4148.589844
106,4140.128418
107,4137.05127
108,4137.436035
109,4140.0
110,4140.128418
111,4136.922852
112,4144.102539
113,4154.358887
114,4153.205078
115,4150.384766
116,4151.922852
117,4152.436035
118,4150.641113
119,4144.358887
120,4136.922852
121,4138.205078
122,4139.102539
123,4135.384766
124,4137.436035
125,4141.922852
126,4137.94873
127,4129.615234
128,4137.436035
129,4147.436035
130,4151.794922
131,4140.128418
132,4139.743652
133,4145.897461
134,4139.102539
135,4137.307617
136,4144.102539
137,4138.589844
138,4133.461426
139,4137.94873
140,4135.897461
141,4132.179688
142,4137.563965
143,4142.05127
144,4135.897461
145,4131.282227
146,4137.307617
147,4140.897461
148,4138.846191
149,4136.922852
150,4131.153809
151,4128.205078
152,4132.692383
153,4140.128418
154,4141.025879
155,4132.307617
156,4130.641113
157,4140.769043
158,4141.794922
159,4136.538574
160,4136.025879
161,4128.205078
162,4120.0
163,4122.436035
164,4127.179688
165,4134.358887
166,4139.487305
167,4136.153809
168,4136.025879
169,4138.461426
170,4133.461426
171,4133.205078
172,4141.153809
173,4144.102539
174,4140.256348
175,4138.461426
176,4139.487305
177,4131.666504
178,4122.563965
179,4127.563965
180,4137.692383
181,4137.436035
182,4133.205078
183,4135.256348
184,4139.230957
185,4135.128418
186,4131.666504
187,4131.538574
188,4127.692383
189,4122.179688
