,set2
0,4169.487305
1,4169.358887
2,4169.871582
3,4170.897461
4,4166.153809
5,4165.128418
6,4168.846191
7,4167.563965
8,4166.282227
9,4168.974121
10,4166.538574
11,4166.922852
12,4175.256348
13,4176.153809
14,4169.487305
15,4166.538574
16,4164.102539
17,4155.897461
18,4152.179688
19,4161.282227
20,4169.102539
21,4163.974121
22,4157.05127
23,4156.538574
24,4156.794922
25,4157.179688
26,4157.179688
27,4154.743652
28,4154.871582
29,4158.205078
30,4158.589844
31,4149.230957
32,4139.743652
33,4143.846191
34,4152.436035
35,4154.487305
36,4155.128418
37,4148.333496
38,4135.0
39,4138.846191
40,4152.94873
41,4153.846191
42,4152.436035
43,4157.436035
44,4158.205078
45,4154.487305
46,4150.897461
47,4151.538574
48,4157.692383
49,4160.0
50,4154.102539
51,4151.538574
52,4155.384766
53,4156.282227
54,4151.922852
55,4152.307617
56,4167.436035
57,4186.538574
58,4190.384766
59,4181.922852
60,4178.461426
61,4184.615234
62,4184.743652
63,4173.589844
64,4092.435791
65,4090.897461
66,4094.487061
67,4094.743652
68,4093.974365
69,4091.794922
70,4084.615479
71,4078.205078
72,4080.769287
73,4084.358887
74,4081.538574
75,4079.230713
76,4079.743652
77,4078.974365
78,4080.256348
79,4081.666748
80,4078.461426
81,4073.974365
82,4068.846191
83,4064.358887
84,4067.94873
85,4073.333252
86,4081.538574
87,4094.487061
88,4092.820557
89,4078.589844
90,4076.538574
91,4080.512939
92,4080.128174
93,4084.102539
94,4091.923096
95,4096.282227
96,4094.871826
97,4095.0
98,4103.717773
99,4108.846191
100,4100.256348
101,4091.923096
102,4091.153809
103,4087.179443
104,4079.102539
105,4074.743652
106,4073.461426
107,4074.743652
108,4082.692383
109,4089.358887
110,4084.743652
111,4075.641113
112,4075.384521
113,4086.410156
114,4090.512939
115,4083.846191
116,4084.358887
117,4088.461426
118,4083.076904
119,4078.718018
120,4078.205078
121,4074.230713
122,4071.794922
123,4068.333252
124,4064.230713
125,4072.435791
126,4083.846191
127,4085.0
128,4124.358887
129,4127.05127
130,4118.205078
131,4111.666504
132,4123.589844
133,4140.641113
134,4138.589844
135,4127.820313
136,4124.230957
137,4124.487305
138,4124.102539
139,4122.820313
140,4121.025879
141,4122.436035
142,4123.077148
143,4114.487305
144,4112.436035
145,4119.871582
146,4125.384766
147,4132.820313
148,4135.384766
149,4126.410156
150,4119.743652
151,4121.410156
152,4121.794922
153,4122.05127
154,4123.589844
155,4118.974121
156,4112.307617
157,4110.256348
158,4115.256348
159,4122.05127
160,4120.256348
161,4112.436035
162,4108.205078
163,4112.179688
164,4118.333496
165,4121.410156
166,4121.153809
167,4116.666504
168,4113.717773
