,set2
0,4132.307617
1,4133.717773
2,4137.94873
3,4138.077148
4,4137.692383
5,4140.512695
6,4140.128418
7,4138.205078
8,4138.461426
9,4139.102539
10,4140.0
11,4141.410156
12,4141.153809
13,4141.666504
14,4142.94873
15,4139.615234
16,4142.563965
17,4148.589844
18,4142.820313
19,4136.538574
20,4141.025879
21,4142.563965
22,4138.974121
23,4140.256348
24,4140.512695
25,4137.820313
26,4140.641113
27,4149.230957
28,4153.717773
29,4155.384766
30,4156.794922
31,4148.974121
32,4142.563965
33,4151.794922
34,4154.487305
35,4144.102539
36,4144.615234
37,4149.743652
38,4148.717773
39,4151.794922
40,4156.153809
41,4155.0
42,4153.077148
43,4150.384766
44,4149.230957
45,4153.205078
46,4152.692383
47,4151.025879
48,4153.846191
49,4155.256348
50,4153.846191
51,4153.589844
52,4154.487305
53,4153.846191
54,4154.102539
55,4153.461426
56,4151.794922
57,4151.282227
58,4149.358887
59,4144.102539
60,4138.205078
61,4139.102539
62,4145.384766
63,4144.487305
64,4126.153809
65,4126.153809
66,4125.384766
67,4123.846191
68,4123.717773
69,4122.436035
70,4120.256348
71,4122.05127
72,4123.717773
73,4120.512695
74,4118.461426
75,4116.025879
76,4112.179688
77,4116.282227
78,4122.307617
79,4120.0
80,4119.102539
81,4125.512695
82,4127.820313
83,4123.974121
84,4123.461426
85,4123.333496
86,4120.897461
87,4120.512695
88,4121.666504
89,4121.282227
90,4121.410156
91,4121.153809
92,4118.589844
93,4118.461426
94,4123.333496
95,4126.153809
96,4119.615234
97,4113.846191
98,4112.692383
99,4108.846191
100,4109.358887
101,4112.436035
102,4108.589844
103,4111.153809
104,4121.794922
105,4122.692383
106,4120.512695
107,4124.230957
108,4123.333496
109,4120.641113
110,4121.538574
111,4121.922852
112,4121.410156
113,4122.179688
114,4122.94873
115,4118.974121
116,4117.307617
117,4120.384766
118,4118.589844
119,4117.436035
120,4118.077148
121,4113.205078
122,4112.05127
123,4119.743652
124,4123.205078
125,4122.563965
126,4123.461426
127,4122.563965
128,4138.077148
129,4135.769043
130,4125.769043
131,4121.922852
132,4122.179688
133,4126.153809
134,4126.410156
135,4121.025879
136,4127.820313
137,4135.128418
138,4129.358887
139,4130.769043
140,4142.179688
141,4142.307617
142,4136.666504
143,4140.128418
144,4144.102539
145,4143.589844
146,4141.153809
147,4140.256348
148,4140.897461
149,4140.769043
150,4142.94873
151,4142.436035
