,set2
0,4187.563965
1,4195.384766
2,4195.128418
3,4182.05127
4,4162.436035
5,4161.538574
6,4185.897461
7,4191.025879
8,4170.641113
9,4168.974121
10,4177.436035
11,4171.025879
12,4169.230957
13,4181.153809
14,4189.871582
15,4184.102539
16,4171.282227
17,4167.307617
18,4178.077148
19,4185.0
20,4181.410156
21,4182.692383
22,4184.743652
23,4178.717773
24,4170.128418
25,4168.461426
26,4178.205078
27,4184.487305
28,4175.384766
29,4167.179688
30,4173.333496
31,4168.974121
32,4154.102539
33,4160.384766
34,4173.205078
35,4165.769043
36,4158.077148
37,4166.538574
38,4167.179688
39,4156.666504
40,4156.153809
41,4160.769043
42,4156.666504
43,4152.436035
44,4162.05127
45,4168.717773
46,4151.794922
47,4136.025879
48,4154.615234
49,4173.717773
50,4158.205078
51,4143.717773
52,4154.743652
53,4164.487305
54,4158.461426
55,4155.0
56,4157.692383
57,4148.846191
58,4134.871582
59,4137.692383
60,4148.717773
61,4146.410156
62,4130.384766
63,4126.666504
64,4104.230957
65,4109.743652
66,4111.025879
67,4106.282227
68,4116.922852
69,4126.794922
70,4106.538574
71,4091.538574
72,4106.538574
73,4113.717773
74,4105.769043
75,4104.743652
76,4105.769043
77,4113.589844
78,4125.897461
79,4116.794922
80,4106.794922
81,4115.512695
82,4112.820313
83,4095.769287
84,4092.05127
85,4102.179688
86,4113.717773
87,4111.282227
88,4089.230713
89,4083.076904
90,4104.102539
91,4114.358887
92,4107.94873
93,4108.077148
94,4113.589844
95,4106.410156
96,4099.871582
97,4104.358887
98,4103.717773
99,4096.666504
100,4089.615479
101,4083.846191
102,4078.718018
103,4076.281982
104,4072.05127
105,4069.358887
106,4070.384521
107,4067.05127
108,4069.487061
109,4078.333252
110,4087.564209
111,4082.564209
112,4058.076904
113,4052.435791
114,4074.230713
115,4078.718018
116,4073.333252
117,4088.333252
118,4096.025879
119,4088.461426
120,4076.153809
121,4068.589844
122,4084.871826
123,4098.717773
124,4089.615479
125,4090.384521
126,4096.153809
127,4082.94873
128,4079.615479
129,4074.487061
130,4066.923096
131,4061.281982
132,4055.256348
133,4056.025635
134,4069.358887
135,4087.307617
136,4093.461426
137,4091.025635
138,4089.743652
139,4081.538574
140,4081.153809
141,4094.487061
142,4086.794922
143,4073.589844
144,4087.692383
145,4091.794922
146,4072.307617
147,4072.820557
148,4085.769287
149,4088.333252
150,4086.923096
151,4085.512939
152,4095.384521
153,4112.05127
154,4110.0
155,4092.94873
156,4088.461426
157,4098.974121
158,4107.307617
159,4111.794922
160,4111.666504
161,4109.743652
162,4106.794922
163,4086.923096
164,4075.641113
165,4100.641113
166,4121.410156
167,4108.717773
168,4103.461426
169,4109.487305
170,4103.974121
171,4111.666504
172,4126.153809
173,4123.333496
174,4120.897461
175,4122.820313
176,4121.410156
177,4130.769043
178,4139.487305
179,4127.563965
180,4123.846191
181,4137.563965
182,4141.282227
183,4131.538574
184,4125.512695
185,4122.307617
186,4121.025879
187,4128.077148
188,4140.641113
189,4145.769043
190,4140.512695
191,4147.692383
