,set1
0,4044.487061
1,4046.923096
2,4041.153809
3,4041.025635
4,4042.94873
5,4043.974365
6,4054.358887
7,4065.128174
8,4062.307617
9,4058.461426
10,4059.358887
11,4057.820557
12,4064.487061
13,4076.025635
14,4076.666748
15,4073.974365
16,4075.512939
17,4075.769287
18,4076.281982
19,4080.384521
20,4084.487061
21,4088.461426
22,4092.307617
23,4093.205078
24,4096.666504
25,4105.256348
26,4106.410156
27,4099.743652
28,4096.794922
29,4094.230713
30,4091.025635
31,4095.384521
32,4101.282227
33,4104.358887
34,4106.282227
35,4101.153809
36,4103.974121
37,4127.436035
38,4143.077148
39,4137.307617
40,4135.897461
41,4143.333496
42,4142.692383
43,4136.282227
44,4135.384766
45,4138.077148
46,4140.128418
47,4138.974121
48,4135.769043
49,4137.179688
50,4140.512695
51,4141.410156
52,4146.025879
53,4154.871582
54,4158.717773
55,4155.384766
56,4156.153809
57,4164.230957
58,4168.717773
59,4168.333496
60,4169.230957
61,4171.153809
62,4177.307617
63,4191.282227
64,4200.384766
65,4199.615234
66,4201.666504
67,4209.102539
68,4211.410156
69,4205.384766
70,4205.641113
71,4216.922852
72,4227.563965
73,4229.230957
74,4221.538574
75,4215.128418
76,4216.282227
77,4210.512695
78,4201.666504
79,4206.666504
80,4209.102539
81,4196.538574
82,4190.0
83,4197.179688
84,4201.922852
85,4201.282227
86,4202.307617
87,4199.615234
88,4192.307617
89,4192.692383
90,4199.230957
91,4195.384766
92,4185.256348
93,4186.666504
94,4198.205078
95,4203.846191
96,4201.153809
97,4199.871582
98,4202.692383
99,4202.179688
100,4199.358887
101,4201.025879
102,4197.820313
103,4188.205078
104,4190.769043
105,4200.769043
106,4202.179688
107,4199.871582
108,4204.743652
109,4212.94873
110,4219.230957
111,4223.461426
112,4215.512695
113,4203.333496
114,4204.487305
115,4208.846191
116,4202.94873
117,4197.307617
118,4202.307617
119,4213.205078
120,4217.563965
121,4203.461426
122,4184.615234
123,4186.282227
124,4189.615234
125,4178.205078
126,4174.358887
127,4181.794922
128,4118.461426
129,4120.384766
130,4118.589844
131,4114.871582
132,4111.538574
133,4117.692383
134,4133.717773
135,4141.922852
136,4139.743652
137,4134.230957
138,4125.641113
139,4120.641113
140,4117.563965
141,4112.692383
142,4107.436035
143,4104.743652
144,4105.897461
145,4111.666504
146,4112.179688
147,4107.692383
148,4114.743652
149,4125.897461
150,4126.025879
151,4123.077148
152,4127.692383
153,4126.538574
154,4113.974121
155,4108.333496
156,4109.230957
157,4106.794922
158,4107.820313
159,4115.128418
160,4116.153809
161,4111.410156
162,4113.333496
163,4119.487305
164,4123.333496
165,4123.333496
166,4120.769043
167,4120.897461
168,4122.436035
169,4126.666504
170,4133.717773
171,4133.461426
172,4123.077148
173,4114.615234
174,4116.282227
175,4119.743652
176,4120.641113
177,4121.025879
178,4120.384766
179,4120.128418
180,4120.769043
181,4123.205078
182,4128.846191
183,4138.077148
184,4141.538574
185,4130.641113
186,4121.153809
187,4122.307617
188,4123.077148
189,4127.307617
190,4136.922852
191,4144.871582
192,3913.589844
193,3932.05127
194,3944.102539
195,3943.333252
196,3962.05127
197,3984.487061
198,3992.564209
199,4010.897461
200,4036.410156
201,4044.487061
202,4046.410156
203,4056.281982
204,4062.692383
205,4058.846191
206,4053.333252
207,4057.435791
208,4069.102539
209,4078.076904
210,4081.923096
211,4083.461426
212,4083.718018
213,4076.538574
214,4067.692383
215,4064.230713
216,4067.435791
217,4073.076904
218,4073.718018
219,4079.743652
220,4088.846191
221,4090.0
222,4093.589844
223,4107.436035
224,4118.461426
225,4121.922852
226,4126.153809
227,4124.743652
228,4121.538574
229,4123.077148
230,4126.025879
231,4131.025879
232,4136.025879
233,4136.410156
234,4131.794922
235,4138.333496
236,4156.282227
237,4164.871582
238,4156.410156
239,4151.538574
240,4161.538574
241,4171.922852
242,4176.282227
243,4178.974121
244,4192.692383
245,4212.436035
246,4219.487305
247,4214.358887
248,4215.769043
249,4227.563965
250,4232.94873
251,4227.179688
252,4224.487305
253,4230.128418
254,4232.436035
255,4234.615234
256,4093.846191
257,4100.384766
258,4090.897461
259,4085.512939
260,4096.538574
261,4108.974121
262,4113.077148
263,4110.512695
264,4112.05127
265,4118.077148
266,4115.769043
267,4104.230957
268,4102.307617
269,4107.820313
270,4106.666504
271,4111.538574
272,4121.282227
273,4124.230957
274,4122.692383
275,4117.692383
276,4109.358887
277,4104.358887
278,4104.743652
279,4103.846191
280,4105.897461
281,4107.563965
282,4109.487305
283,4117.307617
284,4123.333496
285,4122.820313
286,4123.333496
287,4124.615234
288,4124.487305
289,4131.922852
290,4137.563965
291,4127.94873
292,4121.025879
293,4124.743652
