,set1
0,4209.871582
1,4211.538574
2,4220.897461
3,4242.05127
4,4265.769043
5,4297.563965
6,4323.846191
7,4332.436035
8,4336.410156
9,4334.358887
10,4317.563965
11,4301.282227
12,4286.666504
13,4261.922852
14,4244.615234
15,4245.128418
16,4234.487305
17,4215.769043
18,4214.615234
19,4215.641113
20,4202.692383
21,4197.179688
22,4203.846191
23,4197.179688
24,4182.820313
25,4180.128418
26,4182.820313
27,4175.512695
28,4165.256348
29,4176.794922
30,4196.153809
31,4194.487305
32,4184.871582
33,4179.871582
34,4171.410156
35,4164.615234
36,4169.230957
37,4172.05127
38,4162.692383
39,4155.128418
40,4166.794922
41,4186.153809
42,4189.358887
43,4185.256348
44,4181.794922
45,4172.563965
46,4171.153809
47,4176.410156
48,4169.871582
49,4168.974121
50,4184.230957
51,4191.025879
52,4180.769043
53,4173.205078
54,4172.563965
55,4166.153809
56,4152.94873
57,4149.230957
58,4158.717773
59,4169.743652
60,4178.717773
61,4186.282227
62,4193.077148
63,4205.0
64,4206.282227
65,4192.436035
66,4190.256348
67,4199.230957
68,4194.615234
69,4184.230957
70,4185.769043
71,4188.846191
72,4181.666504
73,4183.846191
74,4200.512695
75,4201.794922
76,4191.410156
77,4192.820313
78,4192.179688
79,4186.025879
80,4183.717773
81,4176.538574
82,4175.0
83,4183.333496
84,4179.871582
85,4170.128418
86,4167.692383
87,4167.94873
88,4171.025879
89,4172.563965
90,4167.05127
91,4166.922852
92,4172.692383
93,4166.410156
94,4156.410156
95,4158.589844
96,4158.205078
97,4148.077148
98,4146.794922
99,4159.230957
100,4165.0
101,4161.538574
102,4157.179688
103,4158.077148
104,4155.641113
105,4147.820313
106,4157.94873
107,4172.820313
108,4164.871582
109,4159.102539
110,4168.717773
111,4171.282227
112,4168.077148
113,4172.436035
114,4173.846191
115,4168.846191
116,4168.205078
117,4168.461426
118,4159.358887
119,4144.358887
120,4150.0
121,4184.743652
122,4207.94873
123,4218.846191
124,4256.282227
125,4303.461426
126,4328.717773
127,4344.615234
128,4003.846191
129,3999.871826
130,3998.589844
131,4006.666748
132,4009.358887
133,4008.461426
134,4003.718018
135,3988.205078
136,3970.384521
137,3960.128174
138,3962.820557
139,3976.794922
140,3988.076904
141,3985.641113
142,3976.923096
143,3969.743652
144,3969.358887
145,3974.230713
146,3969.102539
147,3958.589844
148,3958.461426
149,3960.384521
150,3948.205078
151,3939.615479
152,3943.333252
153,3937.94873
154,3920.897461
155,3912.94873
156,3909.102539
157,3899.615479
158,3896.281982
159,3896.025635
160,3894.102539
161,3900.512939
162,3910.897461
163,3906.794922
164,3890.641113
165,3887.435791
166,3892.307617
167,3886.538574
168,3874.487061
169,3870.641113
170,3874.871826
171,3878.974365
172,3873.333252
173,3868.333252
174,3876.153809
175,3886.410156
176,3887.05127
177,3882.820557
178,3876.794922
179,3877.05127
180,3882.692383
181,3874.743652
182,3865.256348
183,3873.461426
184,3886.666748
185,3889.102539
186,3888.589844
187,3891.666748
188,3888.589844
189,3879.743652
190,3876.281982
191,3881.410156
192,3883.076904
193,3879.230713
194,3881.538574
195,3884.102539
196,3880.0
197,3881.923096
198,3890.769287
199,3887.94873
200,3882.435791
201,3889.358887
202,3892.179443
203,3890.512939
204,3900.897461
205,3911.281982
206,3912.179443
207,3911.025635
208,3910.897461
209,3910.512939
210,3911.794922
211,3912.564209
212,3909.487061
213,3907.820557
214,3908.846191
215,3910.0
216,3910.512939
217,3909.487061
218,3913.076904
219,3921.025635
220,3921.538574
221,3919.358887
222,3924.615479
223,3928.718018
224,3924.615479
225,3923.718018
226,3926.538574
227,3927.307617
228,3931.538574
229,3941.025635
230,3939.358887
231,3928.076904
232,3934.358887
233,3945.128174
234,3935.641113
235,3928.205078
236,3932.94873
237,3934.871826
238,3938.461426
239,3947.307617
240,3944.487061
241,3939.743652
242,3948.846191
243,3957.94873
244,3957.564209
245,3955.769287
246,3957.692383
247,3956.153809
248,3956.410156
249,3965.641113
250,3976.794922
251,3976.794922
252,3964.743652
253,3959.743652
254,3967.179443
255,3974.102539
256,4258.974121
257,4272.692383
258,4277.436035
259,4276.153809
260,4279.615234
261,4280.641113
262,4278.461426
263,4280.128418
264,4281.153809
265,4280.0
266,4279.615234
267,4277.179688
268,4279.230957
269,4276.153809
270,4266.153809
271,4270.897461
272,4278.589844
273,4267.563965
274,4260.769043
275,4267.05127
276,4264.743652
277,4259.358887
278,4261.410156
279,4261.922852
280,4258.589844
281,4250.256348
282,4246.538574
283,4257.563965
284,4266.025879
285,4263.205078
286,4262.436035
287,4264.102539
288,4262.436035
289,4264.871582
290,4276.153809
291,4278.077148
292,4264.615234
293,4260.0
294,4265.769043
295,4255.512695
296,4241.538574
297,4253.205078
298,4268.333496
299,4264.102539
300,4260.128418
301,4260.641113
302,4251.025879
303,4243.589844
304,4252.05127
305,4263.077148
306,4265.0
307,4260.769043
308,4256.922852
309,4259.230957
310,4263.077148
311,4261.282227
312,4260.384766
313,4262.436035
314,4256.410156
315,4246.153809
316,4245.512695
317,4256.794922
318,4263.205078
319,4258.846191
320,4265.256348
321,4285.256348
322,4306.282227
323,4343.077148
324,4391.153809
325,4406.410156
326,4398.461426
327,4400.641113
328,4392.307617
329,4375.769043
330,4373.205078
331,4362.05127
332,4334.102539
333,4320.512695
334,4315.769043
335,4301.922852
336,4292.820313
337,4287.307617
338,4281.025879
339,4275.769043
340,4268.846191
341,4260.128418
342,4252.307617
343,4247.05127
344,4251.282227
345,4264.358887
346,4265.641113
347,4254.487305
348,4245.256348
349,4242.820313
350,4245.0
351,4242.436035
352,4234.487305
353,4230.256348
354,4233.846191
355,4235.128418
356,4230.384766
357,4229.615234
358,4233.717773
359,4234.487305
360,4229.871582
361,4229.743652
362,4232.436035
363,4232.94873
364,4236.025879
365,4246.153809
366,4252.692383
367,4243.461426
368,4232.692383
369,4227.94873
370,4220.256348
371,4212.94873
372,4211.282227
373,4213.077148
374,4215.512695
375,4210.769043
376,4204.358887
377,4212.692383
378,4215.641113
379,4200.897461
380,4195.769043
381,4201.666504
382,4200.384766
383,4199.871582
384,4118.846191
385,4119.487305
386,4114.487305
387,4108.205078
388,4116.794922
389,4125.897461
390,4118.461426
391,4114.743652
392,4123.846191
393,4127.05127
394,4124.615234
395,4124.230957
396,4126.410156
397,4125.384766
398,4122.307617
399,4121.922852
400,4119.871582
401,4120.384766
402,4124.230957
403,4119.230957
404,4120.641113
405,4141.666504
406,4158.077148
407,4158.717773
408,4154.743652
409,4143.333496
410,4133.205078
411,4135.897461
412,4134.102539
413,4130.0
414,4134.871582
415,4140.0
416,4143.974121
417,4140.256348
418,4130.769043
419,4132.692383
420,4135.256348
421,4122.94873
422,4121.025879
423,4137.820313
424,4142.179688
425,4133.077148
426,4132.307617
427,4132.05127
428,4130.128418
429,4132.563965
430,4137.436035
431,4138.077148
432,4135.897461
433,4135.256348
434,4138.333496
435,4143.846191
436,4143.077148
437,4144.487305
438,4152.436035
439,4156.025879
440,4158.077148
441,4156.922852
442,4152.820313
443,4161.794922
444,4172.692383
445,4161.025879
446,4150.641113
447,4158.846191
448,4150.897461
449,4132.307617
450,4141.794922
451,4154.743652
452,4145.256348
453,4136.153809
454,4137.563965
455,4137.94873
456,4138.846191
457,4145.128418
458,4140.256348
459,4128.846191
460,4130.256348
461,4129.871582
462,4121.410156
463,4127.179688
464,4137.179688
465,4133.717773
466,4135.641113
467,4141.922852
468,4133.461426
469,4129.230957
470,4130.384766
471,4125.641113
472,4124.615234
473,4126.153809
474,4124.358887
475,4123.589844
476,4124.358887
477,4123.717773
478,4124.487305
479,4125.641113
480,4123.461426
481,4120.256348
482,4113.205078
483,4105.128418
484,4107.820313
485,4113.589844
486,4107.94873
487,4107.692383
488,4121.410156
489,4127.563965
490,4121.153809
491,4119.871582
492,4122.820313
493,4121.666504
494,4123.846191
495,4121.538574
496,4110.0
497,4110.0
498,4125.128418
499,4129.102539
500,4120.256348
501,4119.230957
502,4121.922852
503,4119.102539
504,4118.205078
505,4122.05127
506,4124.102539
507,4125.0
508,4130.512695
509,4137.820313
510,4137.436035
511,4130.769043
512,4257.307617
513,4231.153809
514,4201.794922
515,4196.282227
516,4204.358887
517,4203.589844
518,4200.512695
519,4200.0
520,4189.871582
521,4171.922852
522,4162.05127
523,4169.871582
524,4175.769043
525,4163.077148
526,4159.358887
527,4168.974121
528,4164.743652
529,4153.717773
530,4148.846191
531,4139.615234
532,4134.871582
533,4138.333496
534,4128.333496
535,4117.94873
536,4125.897461
537,4128.846191
538,4126.153809
539,4142.179688
540,4157.563965
541,4141.282227
542,4121.025879
543,4126.922852
544,4140.256348
545,4141.922852
546,4141.922852
547,4152.05127
548,4156.794922
549,4145.256348
550,4144.743652
551,4155.641113
552,4146.666504
553,4130.512695
554,4138.974121
555,4153.846191
556,4158.205078
557,4159.871582
558,4158.205078
559,4154.358887
560,4156.410156
561,4152.692383
562,4139.230957
563,4138.589844
564,4159.743652
565,4182.05127
566,4183.333496
567,4173.717773
568,4169.230957
569,4169.871582
570,4171.538574
571,4164.358887
572,4153.717773
573,4157.179688
574,4165.641113
575,4162.94873
576,4163.717773
577,4170.512695
578,4173.205078
579,4180.128418
580,4180.128418
581,4171.025879
582,4174.102539
583,4173.846191
584,4159.487305
585,4152.563965
586,4153.846191
587,4152.05127
588,4149.358887
589,4142.94873
590,4140.641113
591,4149.487305
592,4153.333496
593,4151.153809
594,4154.487305
595,4158.333496
596,4154.743652
597,4148.589844
598,4153.205078
599,4153.717773
600,4140.256348
601,4141.538574
602,4158.974121
603,4161.538574
604,4154.230957
605,4154.615234
606,4156.153809
607,4155.256348
608,4152.179688
609,4152.820313
610,4158.589844
611,4152.563965
612,4145.128418
613,4151.025879
614,4152.820313
615,4151.794922
616,4162.436035
617,4172.436035
618,4171.410156
619,4158.461426
620,4144.487305
621,4145.384766
622,4156.794922
623,4157.307617
624,4144.358887
625,4142.820313
626,4151.922852
627,4152.563965
628,4150.769043
629,4148.974121
630,4132.179688
631,4124.358887
632,4148.461426
633,4156.666504
634,4142.820313
635,4138.077148
636,4133.205078
637,4140.256348
638,4163.077148
639,4180.0
640,4145.256348
641,4138.846191
642,4140.897461
643,4151.410156
644,4161.282227
645,4173.205078
646,4174.743652
647,4173.846191
648,4187.307617
649,4194.615234
650,4180.512695
651,4170.256348
652,4168.333496
653,4151.025879
654,4135.641113
655,4145.256348
656,4147.820313
657,4133.589844
658,4136.410156
659,4147.179688
660,4141.410156
661,4131.794922
662,4129.743652
663,4127.820313
