,set2
0,4123.846191
1,4115.641113
2,4107.563965
3,4114.487305
4,4124.102539
5,4122.436035
6,4122.179688
7,4127.05127
8,4127.307617
9,4126.153809
10,4129.743652
11,4129.871582
12,4123.846191
13,4125.769043
14,4135.0
15,4138.974121
16,4144.358887
17,4151.538574
18,4147.179688
19,4139.487305
20,4143.589844
21,4146.153809
22,4140.769043
23,4142.307617
24,4153.205078
25,4159.358887
26,4150.128418
27,4139.743652
28,4133.333496
29,4128.846191
30,4132.820313
31,4138.717773
32,4137.94873
33,4136.922852
34,4137.94873
35,4135.641113
36,4135.384766
37,4137.307617
38,4137.179688
39,4139.230957
40,4140.0
41,4136.538574
42,4135.256348
43,4137.692383
44,4138.205078
45,4138.077148
46,4137.94873
47,4136.538574
48,4140.769043
49,4140.641113
50,4128.589844
51,4126.538574
52,4136.410156
53,4133.205078
54,4118.077148
55,4115.769043
56,4122.307617
57,4119.615234
58,4115.0
59,4118.077148
60,4123.461426
61,4122.436035
62,4117.179688
63,4112.05127
64,4108.846191
65,4112.179688
66,4117.05127
67,4121.794922
68,4121.153809
69,4111.794922
70,4111.153809
71,4120.769043
72,4123.461426
73,4121.153809
74,4123.589844
75,4115.769043
76,4102.94873
77,4112.179688
78,4121.538574
79,4118.077148
80,4122.05127
81,4118.077148
82,4108.974121
83,4124.102539
84,4143.205078
85,4146.153809
86,4151.666504
87,4152.179688
88,4140.128418
89,4144.743652
90,4155.256348
91,4149.743652
92,4145.897461
93,4146.794922
94,4149.487305
95,4149.102539
96,4142.563965
97,4135.512695
98,4134.102539
99,4135.384766
100,4135.512695
101,4139.358887
102,4142.179688
103,4145.512695
104,4149.743652
105,4148.333496
106,4149.230957
107,4149.487305
108,4141.794922
109,4137.179688
110,4137.820313
111,4132.307617
112,4122.94873
113,4120.384766
114,4123.077148
115,4128.846191
116,4134.743652
117,4138.333496
118,4133.589844
119,4125.897461
120,4128.589844
121,4137.179688
122,4138.077148
123,4133.461426
124,4129.358887
125,4124.615234
126,4124.358887
127,4128.461426
128,4122.94873
129,4119.487305
130,4109.358887
131,4103.717773
132,4106.025879
133,4112.820313
134,4122.05127
135,4122.563965
136,4112.179688
137,4107.05127
138,4107.179688
139,4104.358887
140,4108.077148
141,4119.487305
142,4124.871582
143,4121.794922
144,4124.358887
145,4125.897461
146,4113.717773
147,4105.384766
148,4117.820313
149,4127.307617
150,4118.205078
151,4116.922852
152,4121.025879
153,4114.487305
154,4115.897461
155,4121.922852
156,4112.307617
157,4102.94873
158,4108.589844
159,4113.461426
160,4114.487305
161,4113.846191
162,4111.410156
163,4115.256348
164,4119.487305
165,4115.128418
166,4109.743652
167,4113.846191
168,4123.333496
169,4127.692383
170,4121.538574
171,4109.615234
172,4106.922852
173,4115.128418
174,4116.922852
175,4109.230957
176,4104.743652
177,4106.410156
178,4113.461426
179,4121.025879
180,4121.538574
181,4120.128418
182,4124.871582
183,4127.94873
184,4123.974121
185,4120.256348
186,4121.666504
187,4122.436035
188,4120.256348
189,4126.538574
190,4137.307617
191,4140.128418
192,4138.077148
193,4132.820313
194,4123.333496
195,4120.256348
196,4126.025879
197,4130.0
198,4128.077148
199,4123.974121
200,4120.256348
201,4116.666504
202,4118.589844
203,4129.230957
204,4136.794922
205,4137.820313
206,4139.102539
207,4137.820313
208,4130.256348
209,4126.025879
210,4123.974121
211,4120.512695
212,4130.512695
213,4139.615234
214,4131.025879
215,4129.615234
216,4136.410156
217,4129.615234
218,4121.538574
219,4125.512695
220,4124.871582
221,4123.461426
222,4131.025879
223,4140.0
224,4149.230957
225,4155.128418
226,4150.128418
227,4142.563965
228,4145.384766
229,4153.846191
230,4152.692383
231,4141.538574
232,4135.128418
233,4144.743652
234,4151.410156
235,4143.333496
236,4133.846191
237,4130.0
238,4130.128418
239,4132.563965
240,4133.846191
241,4134.230957
242,4139.743652
243,4139.871582
244,4130.897461
245,4127.307617
246,4128.205078
247,4125.769043
248,4122.692383
249,4122.563965
250,4122.563965
251,4122.179688
252,4118.077148
253,4112.94873
254,4115.641113
255,4120.256348
256,4165.128418
257,4168.205078
258,4163.846191
259,4150.128418
260,4157.436035
261,4172.94873
262,4168.974121
