,set1
0,4044.487061
1,4046.923096
2,4041.153809
3,4041.025635
4,4042.94873
5,4043.974365
6,4054.358887
7,4065.128174
8,4062.307617
9,4058.461426
10,4059.358887
11,4057.820557
12,4064.487061
13,4076.025635
14,4076.666748
15,4073.974365
16,4075.512939
17,4075.769287
18,4076.281982
19,4080.384521
20,4084.487061
21,4088.461426
22,4092.307617
23,4093.205078
24,4096.666504
25,4105.256348
26,4106.410156
27,4099.743652
28,4096.794922
29,4094.230713
30,4091.025635
31,4095.384521
32,4101.282227
33,4104.358887
34,4106.282227
35,4101.153809
36,4103.974121
37,4127.436035
38,4143.077148
39,4137.307617
40,4135.897461
41,4143.333496
42,4142.692383
43,4136.282227
44,4135.384766
45,4138.077148
46,4140.128418
47,4138.974121
48,4135.769043
49,4137.179688
50,4140.512695
51,4141.410156
52,4146.025879
53,4154.871582
54,4158.717773
55,4155.384766
56,4156.153809
57,4164.230957
58,4168.717773
59,4168.333496
60,4169.230957
61,4171.153809
62,4177.307617
63,4191.282227
64,4199.871582
65,4200.0
66,4202.179688
67,4203.205078
68,4202.436035
69,4203.333496
70,4200.128418
71,4196.153809
72,4198.461426
73,4201.410156
74,4201.410156
75,4202.692383
76,4203.077148
77,4200.769043
78,4200.256348
79,4199.487305
80,4200.512695
81,4207.436035
82,4213.205078
83,4213.461426
84,4214.743652
85,4216.922852
86,4215.769043
87,4221.538574
88,4230.769043
89,4231.282227
90,4229.358887
91,4231.410156
92,4234.871582
93,4237.692383
94,4231.025879
95,4216.410156
96,4218.717773
97,4229.615234
98,4222.179688
99,4216.410156
100,4228.461426
101,4237.820313
102,4230.384766
103,4219.487305
104,4220.769043
105,4228.717773
106,4230.256348
107,4227.179688
108,4224.615234
109,4214.230957
110,4206.025879
111,4211.282227
112,4222.436035
113,4230.128418
114,4227.05127
115,4215.0
116,4210.0
117,4221.282227
118,4234.230957
119,4237.05127
120,4232.692383
121,4232.307617
122,4240.512695
123,4246.410156
124,4246.538574
125,4245.512695
126,4249.102539
127,4252.820313
128,4200.384766
129,4199.615234
130,4201.666504
131,4209.102539
132,4211.410156
133,4205.384766
134,4205.641113
135,4216.922852
136,4227.563965
137,4229.230957
138,4221.538574
139,4215.128418
140,4216.282227
141,4210.512695
142,4201.666504
143,4206.666504
144,4209.102539
145,4196.538574
146,4190.0
147,4197.179688
148,4201.922852
149,4201.282227
150,4202.307617
151,4199.615234
152,4192.307617
153,4192.692383
154,4199.230957
155,4195.384766
156,4185.256348
157,4186.666504
158,4198.205078
159,4203.846191
160,4201.153809
161,4199.871582
162,4202.692383
163,4202.179688
164,4199.358887
165,4201.025879
166,4197.820313
167,4188.205078
168,4190.769043
169,4200.769043
170,4202.179688
171,4199.871582
172,4204.743652
173,4212.94873
174,4219.230957
175,4223.461426
176,4215.512695
177,4203.333496
178,4204.487305
179,4208.846191
180,4202.94873
181,4197.307617
182,4202.307617
183,4213.205078
184,4217.563965
185,4203.461426
186,4184.615234
187,4186.282227
188,4189.615234
189,4178.205078
190,4174.358887
191,4181.794922
192,4187.05127
193,4194.102539
194,4205.0
195,4201.666504
196,4189.230957
197,4186.282227
198,4185.769043
199,4185.384766
200,4183.461426
201,4174.743652
202,4170.641113
203,4172.563965
204,4171.922852
205,4173.205078
206,4179.102539
207,4180.769043
208,4184.358887
209,4188.333496
210,4183.333496
211,4183.846191
212,4186.538574
213,4178.589844
214,4175.256348
215,4185.128418
216,4195.641113
217,4200.128418
218,4197.436035
219,4192.179688
220,4193.846191
221,4195.512695
222,4194.871582
223,4195.897461
224,4191.153809
225,4185.0
226,4181.282227
227,4176.794922
228,4170.641113
229,4163.974121
230,4160.128418
231,4166.794922
232,4174.871582
233,4170.897461
234,4168.077148
235,4175.512695
236,4180.641113
237,4175.897461
238,4167.436035
239,4161.922852
240,4157.307617
241,4154.871582
242,4155.384766
243,4156.282227
244,4156.025879
245,4156.410156
246,4163.333496
247,4172.692383
248,4167.692383
249,4158.333496
250,4159.230957
251,4148.333496
252,4121.794922
253,4109.487305
254,4108.846191
255,4097.94873
256,4118.461426
257,4120.384766
258,4118.589844
259,4114.871582
260,4111.538574
261,4117.692383
262,4133.717773
263,4141.922852
264,4139.743652
265,4134.230957
266,4125.641113
267,4120.641113
268,4117.563965
269,4112.692383
270,4107.436035
271,4104.743652
272,4105.897461
273,4111.666504
274,4112.179688
275,4107.692383
276,4114.743652
277,4125.897461
278,4126.025879
279,4123.077148
280,4127.692383
281,4126.538574
282,4113.974121
283,4108.333496
284,4109.230957
285,4106.794922
286,4107.820313
287,4115.128418
288,4116.153809
289,4111.410156
290,4113.333496
291,4119.487305
292,4123.333496
293,4123.333496
