,set1
0,4126.666504
1,4132.179688
2,4133.717773
3,4137.692383
4,4142.692383
5,4144.358887
6,4139.230957
7,4140.512695
8,4142.563965
9,4141.666504
10,4139.615234
11,4139.615234
12,4133.461426
13,4131.025879
14,4139.230957
15,4143.589844
16,4141.282227
17,4140.641113
18,4147.563965
19,4155.641113
20,4164.871582
21,4162.820313
22,4153.589844
23,4148.333496
24,4151.153809
25,4154.230957
26,4158.717773
27,4158.974121
28,4159.743652
29,4158.077148
30,4156.153809
31,4158.461426
32,4154.230957
33,4136.666504
34,4132.179688
35,4146.282227
36,4155.384766
37,4158.077148
38,4155.641113
39,4149.871582
40,4148.077148
41,4155.256348
42,4156.794922
43,4156.025879
44,4156.794922
45,4150.897461
46,4141.922852
47,4150.384766
48,4156.153809
49,4148.333496
50,4141.666504
51,4137.94873
52,4135.128418
53,4139.358887
54,4140.256348
55,4135.384766
56,4138.974121
57,4141.538574
58,4147.436035
59,4154.102539
60,4152.436035
61,4143.077148
62,4139.102539
63,4138.205078
64,4126.538574
65,4127.94873
66,4130.512695
67,4137.436035
68,4137.05127
69,4135.769043
70,4136.794922
71,4133.589844
72,4123.077148
73,4126.410156
74,4129.871582
75,4122.563965
76,4120.641113
77,4130.256348
78,4138.846191
79,4149.871582
80,4155.256348
81,4144.743652
82,4135.0
83,4142.692383
84,4147.94873
85,4136.025879
86,4126.282227
87,4129.102539
88,4134.487305
89,4126.794922
90,4123.461426
91,4125.256348
92,4129.230957
93,4135.512695
94,4140.897461
95,4132.94873
96,4125.641113
97,4131.282227
98,4141.666504
99,4140.512695
100,4125.128418
101,4118.333496
102,4130.512695
103,4141.666504
104,4138.077148
105,4138.717773
106,4135.769043
107,4123.974121
108,4117.436035
109,4123.846191
110,4131.025879
111,4137.563965
112,4133.205078
113,4129.358887
114,4140.0
115,4150.384766
116,4138.077148
117,4130.512695
118,4140.512695
119,4141.153809
120,4136.666504
121,4144.102539
122,4146.410156
123,4130.384766
124,4125.128418
125,4134.487305
126,4140.897461
127,4136.153809
128,4130.384766
129,4133.333496
130,4137.436035
131,4135.641113
132,4131.538574
133,4126.153809
134,4120.897461
135,4120.128418
136,4127.179688
137,4122.05127
138,4113.077148
139,4119.487305
140,4118.974121
141,4111.282227
142,4116.410156
143,4120.256348
144,4114.743652
145,4126.922852
146,4138.461426
147,4132.436035
148,4125.0
149,4128.974121
150,4131.025879
151,4130.512695
152,4130.0
153,4131.282227
154,4129.230957
155,4126.794922
156,4127.307617
157,4123.461426
158,4116.410156
159,4117.820313
160,4125.641113
161,4125.128418
162,4119.230957
163,4113.333496
164,4113.717773
165,4122.563965
166,4128.333496
167,4114.102539
168,4105.641113
169,4112.179688
170,4118.589844
171,4122.05127
172,4129.102539
173,4127.692383
174,4124.871582
175,4128.846191
176,4128.846191
177,4126.666504
178,4129.102539
179,4132.179688
180,4130.769043
181,4133.589844
182,4136.282227
183,4139.615234
184,4142.94873
185,4147.436035
186,4144.871582
187,4140.0
188,4137.436035
189,4139.358887
190,4140.256348
191,4137.179688
192,4125.769043
193,4124.487305
194,4125.128418
195,4127.94873
196,4132.05127
197,4133.717773
198,4131.025879
199,4130.128418
200,4129.102539
201,4121.025879
202,4114.871582
203,4124.743652
204,4130.897461
205,4131.410156
206,4131.922852
207,4128.205078
208,4118.846191
209,4126.025879
210,4137.820313
211,4136.025879
212,4130.128418
213,4132.692383
214,4136.922852
215,4137.307617
216,4139.230957
217,4139.102539
218,4140.512695
219,4140.641113
220,4137.94873
221,4140.641113
222,4146.282227
223,4134.102539
224,4126.153809
225,4133.974121
226,4137.179688
227,4137.307617
228,4144.615234
229,4135.897461
230,4122.307617
231,4130.0
232,4143.974121
233,4143.846191
234,4140.256348
235,4145.256348
236,4148.333496
237,4148.205078
238,4151.666504
239,4160.384766
240,4155.512695
241,4143.589844
242,4143.077148
243,4158.333496
244,4164.615234
245,4155.256348
246,4150.0
247,4155.384766
248,4153.205078
249,4143.333496
250,4136.922852
251,4138.846191
252,4143.333496
253,4142.179688
254,4138.077148
255,4133.974121
256,4135.384766
257,4133.589844
258,4136.666504
259,4136.282227
260,4132.94873
261,4131.922852
262,4132.307617
263,4132.94873
264,4137.436035
265,4143.717773
266,4152.563965
267,4148.461426
268,4138.717773
269,4137.563965
270,4140.128418
271,4138.974121
272,4144.358887
273,4147.307617
274,4142.307617
275,4139.230957
276,4142.436035
277,4144.230957
278,4139.743652
279,4133.717773
280,4130.641113
281,4131.282227
282,4135.256348
283,4140.384766
284,4135.769043
285,4133.333496
286,4129.615234
287,4122.692383
288,4123.333496
289,4130.641113
290,4130.384766
291,4133.846191
292,4135.256348
293,4124.615234
294,4119.871582
295,4129.230957
296,4131.538574
297,4129.102539
298,4132.307617
299,4127.563965
300,4121.153809
301,4126.025879
302,4134.743652
303,4133.589844
304,4135.128418
305,4134.615234
306,4131.025879
307,4127.05127
308,4125.512695
309,4130.256348
310,4137.307617
311,4131.410156
312,4127.307617
313,4135.384766
314,4142.05127
315,4153.974121
316,4166.282227
317,4161.025879
318,4154.615234
319,4163.205078
320,4131.666504
321,4132.94873
322,4133.333496
323,4142.436035
324,4148.205078
325,4143.205078
326,4138.461426
327,4141.410156
328,4141.538574
329,4141.794922
330,4139.615234
331,4136.153809
332,4131.153809
333,4132.05127
334,4137.94873
335,4140.0
336,4138.333496
337,4136.794922
338,4136.153809
339,4137.820313
340,4146.922852
341,4146.025879
342,4138.974121
343,4137.94873
344,4137.05127
345,4132.820313
346,4137.692383
347,4141.153809
348,4142.94873
349,4143.077148
350,4139.487305
351,4133.974121
352,4133.974121
353,4124.102539
354,4119.615234
355,4135.128418
356,4144.615234
357,4139.871582
358,4140.512695
359,4146.410156
360,4143.717773
361,4143.333496
362,4140.512695
363,4138.333496
364,4142.179688
365,4144.743652
366,4134.871582
367,4131.282227
368,4136.282227
369,4134.615234
370,4130.0
371,4127.94873
372,4125.256348
373,4125.769043
374,4129.230957
375,4132.436035
376,4136.794922
377,4137.94873
378,4137.307617
379,4137.563965
380,4136.922852
381,4131.153809
382,4132.820313
383,4133.974121
384,4131.538574
385,4128.717773
386,4132.692383
387,4140.384766
388,4137.179688
389,4134.615234
390,4138.846191
391,4139.102539
392,4130.897461
393,4129.871582
394,4128.846191
395,4127.05127
396,4130.0
397,4133.333496
398,4137.179688
399,4148.589844
400,4149.358887
401,4139.102539
402,4135.0
403,4140.128418
404,4142.94873
405,4135.641113
406,4131.794922
407,4136.410156
408,4141.025879
409,4134.358887
410,4130.769043
411,4128.846191
412,4127.307617
413,4129.358887
414,4136.410156
415,4136.922852
416,4133.205078
417,4131.666504
418,4138.974121
419,4139.487305
420,4130.384766
421,4126.538574
422,4133.717773
423,4139.230957
424,4137.563965
425,4138.461426
426,4135.641113
427,4129.871582
428,4127.179688
429,4130.0
430,4131.922852
431,4134.743652
432,4131.666504
433,4131.025879
434,4138.589844
435,4145.897461
436,4138.974121
437,4135.0
438,4142.692383
439,4142.820313
440,4136.153809
441,4137.179688
442,4138.974121
443,4130.128418
444,4125.0
445,4128.205078
446,4133.974121
447,4135.384766
448,4136.025879
449,4140.512695
450,4139.358887
451,4133.974121
452,4130.512695
453,4127.436035
454,4126.025879
455,4121.922852
456,4123.974121
457,4126.922852
458,4123.461426
459,4123.077148
460,4126.153809
461,4121.794922
462,4121.025879
463,4130.384766
464,4133.077148
465,4133.205078
466,4136.666504
467,4136.410156
468,4133.717773
469,4138.846191
470,4136.922852
471,4131.666504
472,4131.922852
473,4135.384766
474,4135.0
475,4135.128418
476,4132.563965
477,4129.102539
478,4127.179688
479,4128.333496
480,4132.307617
481,4130.128418
482,4124.743652
483,4122.692383
484,4125.897461
485,4129.230957
486,4132.436035
487,4123.974121
488,4120.512695
489,4126.153809
490,4127.820313
491,4124.871582
492,4128.974121
493,4130.384766
494,4128.717773
495,4130.897461
496,4131.922852
497,4129.487305
498,4130.256348
499,4132.05127
500,4133.205078
501,4135.256348
502,4132.436035
503,4134.230957
504,4141.025879
505,4146.410156
506,4141.922852
507,4138.974121
