,set2
0,4165.769043
1,4160.128418
2,4165.256348
3,4172.179688
4,4175.769043
5,4174.102539
6,4172.05127
7,4165.641113
8,4158.205078
9,4162.692383
10,4167.179688
11,4159.102539
12,4155.897461
13,4164.358887
14,4167.820313
15,4168.974121
16,4174.871582
17,4176.410156
18,4170.384766
19,4165.128418
20,4167.436035
21,4168.974121
22,4169.487305
23,4177.820313
24,4182.307617
25,4179.358887
26,4182.692383
27,4187.179688
28,4184.230957
29,4180.256348
30,4177.692383
31,4171.153809
32,4167.820313
33,4170.641113
34,4172.179688
35,4173.461426
36,4167.307617
37,4156.153809
38,4158.846191
39,4172.820313
40,4173.333496
41,4159.743652
42,4155.128418
43,4157.563965
44,4154.358887
45,4148.717773
46,4149.230957
47,4154.358887
48,4153.461426
49,4151.794922
50,4156.410156
51,4158.461426
52,4156.025879
53,4162.692383
54,4169.487305
55,4158.974121
56,4150.641113
57,4154.615234
58,4150.256348
59,4139.871582
60,4139.871582
61,4147.179688
62,4153.846191
63,4157.179688
64,4144.615234
65,4141.666504
66,4137.05127
67,4137.692383
68,4136.922852
69,4138.205078
70,4143.333496
71,4141.025879
72,4137.820313
73,4143.461426
74,4147.436035
75,4143.205078
76,4139.358887
77,4138.205078
78,4137.692383
79,4134.487305
80,4135.641113
81,4143.077148
82,4145.128418
83,4138.461426
84,4133.717773
85,4137.563965
86,4142.94873
87,4140.512695
88,4134.487305
89,4136.282227
90,4142.307617
91,4141.025879
92,4141.410156
93,4146.153809
94,4151.538574
95,4157.179688
96,4152.307617
97,4138.846191
98,4134.615234
99,4137.05127
100,4137.563965
101,4144.487305
102,4155.512695
103,4152.179688
104,4140.641113
105,4138.846191
106,4141.282227
107,4136.410156
108,4129.230957
109,4126.922852
110,4124.615234
111,4121.922852
112,4122.563965
113,4124.615234
114,4125.769043
115,4127.436035
116,4134.102539
117,4138.077148
118,4128.333496
119,4117.94873
120,4119.743652
121,4120.128418
122,4112.436035
123,4109.871582
124,4111.794922
125,4110.0
126,4107.307617
127,4116.538574
128,4152.563965
129,4145.641113
130,4135.769043
131,4138.974121
132,4134.615234
133,4121.922852
134,4126.922852
135,4137.436035
136,4137.436035
137,4138.205078
138,4141.410156
139,4139.615234
140,4137.820313
141,4137.563965
142,4140.641113
143,4151.282227
144,4156.282227
145,4147.692383
146,4140.769043
147,4145.512695
148,4154.743652
149,4152.307617
150,4141.025879
151,4139.487305
152,4142.94873
153,4137.179688
154,4132.820313
155,4137.563965
156,4139.487305
157,4137.05127
158,4138.461426
159,4141.153809
160,4140.128418
161,4136.538574
162,4138.077148
163,4143.846191
164,4145.512695
165,4141.282227
166,4133.461426
167,4127.820313
168,4123.717773
169,4114.358887
170,4109.615234
171,4117.563965
172,4125.641113
173,4124.871582
174,4123.205078
175,4123.333496
176,4124.230957
177,4124.871582
178,4122.820313
179,4123.589844
180,4125.512695
181,4125.256348
182,4125.769043
183,4126.282227
184,4123.077148
185,4121.025879
186,4121.922852
187,4120.769043
188,4121.538574
189,4124.358887
190,4124.358887
191,4125.512695
192,4124.615234
193,4125.0
194,4126.666504
195,4132.307617
196,4137.563965
197,4138.333496
198,4136.666504
199,4139.487305
200,4145.897461
201,4141.666504
202,4126.410156
203,4117.692383
204,4119.230957
205,4121.282227
206,4122.820313
207,4121.666504
208,4120.384766
209,4129.487305
210,4138.333496
211,4136.410156
212,4136.025879
213,4141.538574
214,4144.743652
215,4142.436035
216,4140.0
217,4140.512695
218,4139.871582
219,4134.743652
220,4133.589844
221,4139.358887
222,4141.282227
223,4137.820313
224,4141.282227
225,4152.05127
226,4153.589844
227,4143.333496
228,4135.128418
229,4136.666504
230,4138.717773
231,4131.025879
232,4121.794922
233,4122.436035
234,4124.358887
235,4120.897461
236,4121.538574
237,4126.538574
238,4128.589844
239,4126.410156
240,4121.153809
241,4113.717773
242,4108.205078
243,4111.922852
244,4121.538574
245,4123.589844
246,4121.282227
247,4122.94873
248,4123.974121
249,4124.102539
250,4129.358887
251,4131.922852
252,4128.846191
253,4128.589844
254,4126.282227
255,4117.563965
256,4133.205078
257,4130.128418
258,4132.179688
259,4137.820313
260,4135.769043
261,4133.974121
262,4138.589844
263,4135.384766
264,4125.897461
265,4123.333496
266,4129.102539
267,4132.307617
268,4134.743652
269,4137.94873
270,4133.333496
271,4129.871582
272,4132.563965
273,4136.153809
274,4137.820313
275,4137.692383
276,4139.230957
277,4143.333496
278,4143.974121
279,4138.846191
280,4137.436035
281,4138.589844
282,4139.358887
283,4141.153809
284,4140.641113
285,4137.94873
286,4132.179688
287,4124.871582
288,4129.358887
289,4140.641113
290,4141.282227
291,4138.077148
292,4139.871582
293,4138.589844
294,4136.538574
295,4138.846191
296,4137.820313
297,4132.94873
298,4135.897461
299,4137.436035
300,4130.641113
301,4130.769043
302,4138.077148
303,4140.384766
304,4142.307617
305,4145.256348
306,4140.641113
307,4136.794922
308,4140.128418
309,4139.487305
310,4136.538574
311,4137.307617
312,4138.846191
313,4140.641113
314,4143.333496
315,4142.179688
316,4137.179688
317,4133.461426
318,4130.128418
319,4124.487305
320,4140.256348
321,4137.307617
322,4143.461426
323,4152.307617
324,4156.922852
325,4155.256348
326,4155.128418
327,4153.974121
328,4144.743652
329,4144.871582
330,4152.05127
331,4151.666504
332,4149.615234
333,4151.153809
334,4152.563965
335,4158.461426
336,4168.333496
337,4170.769043
338,4164.102539
339,4154.358887
340,4152.563965
341,4161.666504
342,4168.974121
343,4170.641113
344,4171.025879
345,4173.461426
346,4178.333496
347,4180.769043
348,4178.077148
349,4175.769043
350,4175.0
351,4171.282227
352,4168.589844
353,4170.384766
354,4172.692383
355,4172.307617
356,4165.384766
357,4161.025879
358,4165.641113
359,4171.922852
360,4173.205078
361,4166.666504
362,4158.846191
363,4156.153809
364,4149.358887
365,4137.692383
366,4137.307617
367,4142.692383
368,4137.94873
369,4137.436035
370,4141.666504
371,4136.153809
372,4131.666504
373,4137.94873
374,4139.102539
375,4128.333496
376,4123.461426
377,4126.410156
378,4124.743652
379,4123.077148
380,4128.717773
381,4135.384766
382,4139.487305
383,4140.384766
384,4167.94873
385,4160.897461
386,4153.333496
387,4150.641113
388,4153.974121
389,4161.538574
390,4167.563965
391,4163.589844
392,4156.922852
393,4161.153809
394,4168.846191
395,4167.179688
396,4158.205078
397,4155.384766
398,4158.717773
399,4154.487305
