,set3
0,4112.820313
1,4115.769043
2,4127.05127
3,4127.94873
4,4127.563965
5,4130.256348
6,4123.974121
7,4125.384766
8,4136.410156
9,4133.333496
10,4122.307617
11,4123.461426
12,4125.384766
13,4121.410156
14,4121.410156
15,4123.846191
16,4123.205078
17,4121.538574
18,4121.538574
19,4123.974121
20,4124.230957
21,4125.128418
22,4133.717773
23,4141.410156
24,4137.307617
25,4132.179688
26,4136.153809
27,4139.358887
28,4137.05127
29,4134.743652
30,4133.974121
31,4140.897461
32,4149.871582
33,4146.025879
34,4138.205078
35,4139.743652
36,4143.461426
37,4148.333496
38,4148.717773
39,4140.128418
40,4134.102539
41,4131.666504
42,4130.897461
43,4136.025879
44,4141.794922
45,4142.563965
46,4144.358887
47,4148.717773
48,4152.05127
49,4155.769043
50,4158.077148
51,4158.717773
52,4154.102539
53,4151.282227
54,4157.179688
55,4159.487305
56,4155.256348
57,4156.282227
58,4160.384766
59,4157.820313
60,4151.794922
61,4153.205078
62,4154.871582
63,4150.256348
64,4089.743652
65,4085.128174
66,4077.307617
67,4076.025635
68,4077.05127
69,4078.076904
70,4076.538574
71,4069.487061
72,4068.846191
73,4074.743652
74,4073.974365
75,4069.487061
76,4062.564209
77,4049.615479
78,4041.923096
79,4042.692383
80,4043.205078
81,4042.820557
82,4038.846191
83,4031.538574
84,4030.512939
85,4032.94873
86,4035.512939
87,4041.025635
88,4045.0
89,4046.666748
90,4050.512939
91,4054.743652
92,4057.692383
93,4061.281982
94,4062.307617
95,4061.538574
96,4062.820557
97,4055.512939
98,4040.384521
99,4031.538574
100,4032.564209
101,4030.897461
102,4034.615479
103,4055.0
104,4076.666748
105,4085.769287
106,4090.128174
107,4100.641113
108,4108.589844
109,4107.179688
110,4106.025879
111,4107.692383
112,4109.358887
113,4113.846191
114,4122.94873
115,4125.512695
116,4117.94873
117,4113.846191
118,4117.307617
119,4115.897461
120,4112.692383
121,4120.256348
122,4125.769043
123,4113.974121
124,4105.641113
125,4107.436035
126,4107.307617
127,4113.589844
128,4164.615234
129,4167.05127
130,4160.128418
131,4150.769043
132,4151.025879
133,4152.820313
134,4152.94873
135,4150.641113
136,4141.794922
137,4143.846191
138,4153.589844
139,4154.743652
140,4154.102539
141,4155.769043
142,4155.512695
143,4156.282227
144,4160.512695
145,4164.615234
146,4168.205078
147,4170.641113
148,4170.256348
149,4168.077148
150,4167.179688
151,4171.410156
152,4170.384766
153,4157.307617
154,4153.461426
155,4163.205078
156,4168.333496
157,4167.436035
158,4163.077148
159,4156.538574
160,4154.358887
161,4154.871582
162,4152.307617
163,4152.05127
164,4152.05127
165,4150.897461
166,4149.230957
167,4143.333496
168,4137.820313
169,4144.358887
170,4161.538574
171,4171.922852
172,4169.230957
173,4167.05127
174,4168.589844
175,4166.025879
176,4164.871582
177,4170.256348
178,4171.794922
179,4168.333496
180,4165.769043
181,4168.846191
182,4166.410156
183,4155.897461
184,4157.307617
185,4162.820313
186,4156.794922
187,4150.512695
188,4156.666504
189,4165.897461
190,4164.615234
191,4160.769043
192,4200.641113
193,4199.358887
194,4197.436035
195,4200.384766
196,4197.179688
197,4193.205078
198,4191.794922
199,4188.717773
200,4187.692383
201,4187.94873
202,4186.282227
203,4185.769043
204,4189.102539
205,4190.256348
206,4185.0
207,4179.358887
208,4182.94873
209,4186.153809
210,4185.256348
211,4192.179688
212,4201.538574
213,4200.769043
214,4198.461426
215,4202.94873
216,4197.94873
217,4183.974121
218,4183.974121
219,4189.487305
220,4186.282227
221,4189.102539
222,4198.333496
223,4197.179688
224,4195.641113
225,4200.128418
226,4197.820313
227,4201.922852
228,4217.05127
229,4221.282227
230,4214.743652
231,4213.717773
232,4215.769043
233,4218.717773
234,4225.769043
235,4225.384766
236,4212.94873
237,4202.563965
238,4201.538574
239,4206.794922
240,4212.820313
241,4212.307617
242,4205.384766
243,4205.0
244,4211.538574
245,4213.589844
246,4213.589844
247,4212.05127
248,4207.307617
249,4201.922852
250,4191.666504
251,4180.769043
252,4186.410156
253,4199.871582
254,4200.641113
255,4196.153809
256,4170.384766
257,4167.05127
258,4160.128418
259,4156.153809
260,4156.282227
261,4157.179688
262,4157.820313
263,4153.205078
264,4143.333496
265,4138.717773
266,4142.563965
267,4145.256348
268,4142.179688
269,4140.128418
270,4140.512695
271,4138.205078
272,4135.769043
273,4136.410156
274,4135.641113
275,4135.256348
276,4140.128418
277,4141.922852
278,4137.179688
279,4136.410156
280,4141.282227
281,4141.153809
282,4135.0
283,4129.102539
284,4125.256348
285,4120.641113
286,4115.384766
287,4118.205078
288,4123.974121
289,4123.077148
290,4125.384766
291,4129.871582
292,4127.179688
293,4123.461426
294,4117.436035
295,4107.820313
296,4105.897461
297,4113.461426
298,4113.333496
299,4108.461426
300,4115.0
301,4124.871582
302,4126.282227
303,4123.974121
304,4124.230957
305,4122.820313
306,4120.0
307,4123.461426
308,4123.461426
309,4118.077148
310,4119.743652
311,4122.94873
312,4113.717773
313,4109.615234
314,4118.205078
315,4121.794922
316,4123.717773
317,4128.333496
318,4124.743652
319,4125.641113
320,4137.94873
321,4137.179688
322,4138.077148
323,4136.922852
324,4142.563965
325,4155.512695
326,4155.897461
327,4150.0
328,4150.384766
329,4146.666504
330,4140.256348
331,4141.666504
332,4144.358887
333,4140.512695
334,4136.153809
335,4138.717773
336,4138.205078
337,4136.025879
338,4147.179688
339,4153.717773
340,4146.153809
341,4148.333496
342,4154.358887
343,4152.94873
344,4160.897461
345,4175.769043
346,4173.333496
347,4168.717773
348,4179.743652
349,4182.563965
350,4175.641113
351,4188.461426
352,4206.282227
353,4199.743652
354,4189.615234
355,4191.794922
356,4190.0
357,4186.538574
358,4186.153809
359,4182.94873
360,4177.820313
361,4170.641113
362,4166.153809
363,4170.0
364,4173.974121
365,4172.563965
366,4172.563965
367,4171.922852
368,4168.717773
369,4172.179688
370,4177.563965
371,4173.974121
372,4166.538574
373,4166.666504
374,4170.769043
375,4163.974121
376,4155.256348
377,4158.461426
378,4160.897461
379,4152.563965
380,4148.461426
381,4158.077148
382,4163.974121
383,4157.307617
384,4082.820557
385,4081.666748
386,4068.461426
387,4062.94873
388,4067.692383
389,4070.384521
390,4060.384521
391,4047.564209
392,4049.743652
393,4054.102539
394,4048.461426
395,4048.205078
396,4049.358887
