,set3
0,4023.846191
1,4007.692383
2,4002.307617
3,4023.461426
4,4031.794922
5,4023.718018
6,4021.666748
7,4013.461426
8,4001.666748
9,4014.358887
10,4037.692383
11,4036.666748
12,4021.025635
13,4019.743652
14,4031.025635
15,4038.974365
16,4036.153809
17,4028.718018
18,4030.128174
19,4037.307617
20,4036.410156
21,4030.769287
22,4028.589844
23,4027.564209
24,4028.076904
25,4027.94873
26,4027.94873
27,4034.102539
28,4032.05127
29,4019.871826
30,4021.410156
31,4037.564209
32,4038.461426
33,4025.769287
34,4025.641113
35,4036.666748
36,4048.205078
37,4054.871826
38,4056.666748
39,4053.461426
40,4050.0
41,4046.923096
42,4045.641113
43,4047.94873
44,4043.333252
45,4039.487061
46,4045.512939
47,4049.230713
48,4046.666748
49,4048.333252
50,4053.333252
51,4056.025635
52,4057.05127
53,4057.692383
54,4061.666748
55,4063.333252
56,4057.564209
57,4057.05127
58,4061.410156
59,4063.846191
60,4072.435791
61,4077.307617
62,4071.923096
63,4080.0
64,4099.358887
65,4103.846191
66,4103.205078
67,4111.282227
68,4115.256348
69,4112.563965
70,4110.256348
71,4108.205078
72,4111.410156
73,4113.205078
74,4107.94873
75,4105.0
76,4107.05127
77,4104.102539
78,4093.974365
79,4085.256348
80,4083.333252
81,4081.666748
82,4076.025635
83,4077.307617
84,4076.153809
85,4052.564209
86,4037.179443
87,4051.923096
88,4070.384521
89,4081.666748
90,4091.794922
91,4101.282227
92,4105.512695
93,4095.641113
94,4092.307617
95,4092.307617
96,4084.615479
97,4083.205078
98,4091.666748
99,4091.153809
100,4083.076904
101,4073.974365
102,4066.666748
103,4071.410156
104,4076.538574
105,4066.153809
106,4059.102539
107,4066.666748
108,4063.974365
109,4048.846191
110,4051.025635
111,4061.153809
112,4055.256348
113,4047.307617
114,4046.794922
115,4043.846191
116,4043.589844
117,4043.718018
118,4038.333252
119,4033.846191
120,4031.153809
121,4032.94873
122,4036.923096
123,4032.179443
124,4031.281982
125,4036.923096
126,4037.435791
127,4038.846191
128,4045.512939
129,4050.897461
130,4048.718018
131,4038.333252
132,4032.820557
133,4036.666748
134,4031.281982
135,4022.05127
136,4021.538574
137,4020.769287
138,4019.615479
139,4022.564209
140,4023.205078
141,4019.358887
142,4020.641113
143,4027.692383
144,4032.94873
145,4031.538574
146,4023.974365
147,4018.461426
148,4023.718018
149,4032.94873
150,4024.615479
151,4004.230713
152,4000.641113
153,4006.538574
154,3994.743652
155,3983.205078
156,3988.076904
157,3986.923096
158,3981.025635
159,3986.794922
160,3993.333252
161,3988.974365
162,3983.589844
163,3986.794922
164,3988.974365
165,3980.256348
166,3971.666748
167,3973.589844
168,3974.615479
169,3969.487061
170,3969.487061
171,3972.05127
172,3968.974365
173,3966.923096
174,3971.538574
175,3969.487061
176,3958.333252
177,3956.923096
178,3960.512939
179,3956.923096
180,3967.307617
181,3967.94873
182,3972.94873
183,3978.589844
184,3974.487061
185,3968.461426
186,3970.641113
187,3967.05127
188,3957.564209
189,3957.307617
190,3961.794922
191,3957.179443
192,3955.897461
193,3966.281982
194,3974.487061
195,3974.743652
196,3970.256348
197,3971.025635
198,3968.589844
199,3959.487061
200,3960.641113
201,3968.205078
202,3972.692383
203,3975.897461
204,3970.256348
205,3957.564209
206,3956.281982
207,3960.512939
208,3957.179443
209,3956.666748
210,3961.153809
211,3961.538574
212,3960.0
213,3957.820557
214,3955.0
215,3961.794922
216,3973.461426
217,3967.820557
218,3955.769287
219,3966.025635
220,3976.794922
221,3971.281982
222,3974.615479
223,3983.076904
224,3976.281982
225,3970.384521
226,3979.358887
227,3982.564209
228,3973.205078
229,3971.923096
230,3978.076904
231,3974.871826
232,3969.487061
233,3975.512939
234,3977.307617
235,3972.564209
236,3977.307617
