,set2
0,4137.436035
1,4137.05127
2,4117.563965
3,4095.512939
4,4087.564209
5,4094.743652
6,4097.820313
7,4093.718018
8,4093.846191
9,4089.102539
10,4086.281982
11,4096.794922
12,4107.05127
13,4109.487305
14,4108.333496
15,4099.615234
16,4093.589844
17,4096.410156
18,4094.487061
19,4091.923096
20,4098.461426
21,4106.794922
22,4109.871582
23,4104.358887
24,4096.922852
25,4095.641113
26,4099.230957
27,4099.102539
28,4096.794922
29,4096.538574
30,4097.05127
31,4098.205078
32,4105.256348
33,4115.384766
34,4111.922852
35,4100.384766
36,4101.153809
37,4115.384766
38,4120.897461
39,4109.743652
40,4097.05127
41,4094.743652
42,4102.436035
43,4104.102539
44,4099.487305
45,4095.641113
46,4096.282227
47,4103.077148
48,4110.769043
49,4114.358887
50,4112.563965
51,4112.05127
52,4118.205078
53,4124.487305
54,4121.794922
55,4121.666504
56,4126.282227
57,4108.205078
58,4082.05127
59,4092.05127
60,4112.307617
61,4097.05127
62,4079.102539
63,4101.025879
64,4128.077148
65,4118.461426
66,4102.563965
67,4111.025879
68,4126.666504
69,4128.717773
70,4125.384766
71,4127.820313
72,4126.410156
73,4120.256348
74,4106.794922
75,4089.358887
76,4091.410156
77,4109.230957
78,4109.358887
79,4101.153809
80,4111.538574
81,4121.538574
82,4122.05127
83,4122.94873
84,4126.282227
85,4132.94873
86,4139.358887
87,4144.487305
88,4150.512695
89,4152.94873
90,4128.717773
91,4115.641113
92,4093.333252
93,4085.769287
94,4096.025879
95,4101.282227
96,4101.282227
97,4095.256348
98,4081.538574
99,4076.153809
100,4078.333252
101,4079.615479
102,4083.333252
103,4097.05127
104,4109.871582
105,4103.974121
106,4098.974121
107,4117.05127
108,4133.589844
109,4123.461426
110,4109.615234
111,4102.820313
112,4093.333252
113,4087.692383
114,4087.307617
115,4092.05127
116,4113.846191
117,4135.897461
118,4132.05127
119,4121.538574
120,4122.692383
121,4125.769043
122,4132.05127
123,4136.922852
124,4136.153809
125,4138.205078
126,4132.436035
127,4111.538574
128,4104.615234
129,4115.512695
130,4121.282227
131,4128.846191
132,4138.461426
133,4130.0
134,4107.820313
135,4097.820313
136,4106.922852
137,4113.974121
138,4108.717773
139,4103.717773
140,4109.358887
141,4114.230957
142,4112.307617
143,4103.846191
144,4092.692383
145,4089.743652
146,4085.256348
147,4071.025635
148,4075.128174
149,4092.05127
150,4089.615479
151,4081.923096
152,4091.794922
153,4099.487305
154,4087.692383
155,4075.0
156,4079.487061
157,4090.384521
158,4089.487061
159,4086.794922
160,4091.794922
161,4094.615479
162,4096.538574
163,4098.846191
164,4103.589844
165,4106.666504
166,4095.0
167,4078.205078
168,4080.769287
169,4090.641113
170,4090.384521
171,4093.846191
172,4103.205078
173,4110.256348
174,4113.974121
175,4116.666504
176,4121.410156
177,4127.05127
178,4120.641113
179,4107.05127
180,4118.333496
181,4111.794922
182,4129.615234
183,4133.205078
184,4111.282227
185,4105.897461
186,4113.974121
187,4108.846191
188,4108.974121
189,4117.692383
190,4117.692383
191,4115.897461
192,4117.05127
193,4105.897461
194,4092.692383
195,4095.512939
196,4096.025879
197,4094.230713
198,4100.769043
199,4101.410156
200,4094.102539
201,4095.128174
202,4101.538574
203,4098.205078
204,4097.563965
205,4103.461426
206,4102.820313
207,4097.820313
208,4097.05127
209,4102.307617
210,4107.05127
211,4104.358887
212,4097.307617
213,4091.923096
214,4087.94873
215,4081.538574
216,4081.410156
217,4089.358887
218,4093.589844
219,4094.487061
220,4100.128418
221,4106.538574
222,4109.615234
223,4111.538574
224,4104.615234
225,4095.897461
226,4100.384766
227,4104.358887
228,4093.589844
229,4086.666748
230,4097.05127
231,4106.922852
232,4100.0
233,4088.846191
234,4088.974365
235,4091.666748
236,4094.230713
237,4105.384766
238,4108.077148
239,4097.179688
240,4095.512939
241,4104.615234
242,4106.922852
243,4101.666504
244,4094.102539
245,4094.615479
246,4103.205078
247,4110.128418
248,4107.05127
249,4096.922852
250,4094.743652
251,4103.205078
252,4112.179688
253,4114.743652
254,4112.820313
255,4103.717773
256,4095.641113
257,4101.794922
258,4109.102539
259,4107.307617
260,4110.0
261,4118.717773
262,4115.512695
263,4105.256348
264,4106.025879
265,4107.692383
266,4104.743652
267,4106.922852
