,set3
0,4125.897461
1,4126.666504
2,4123.717773
3,4122.563965
4,4123.205078
5,4119.871582
6,4120.512695
7,4124.743652
8,4122.563965
9,4122.179688
10,4126.153809
11,4119.743652
12,4107.05127
13,4103.846191
14,4108.846191
15,4110.0
16,4107.820313
17,4111.025879
18,4115.512695
19,4117.94873
20,4117.692383
21,4119.487305
22,4119.615234
23,4114.102539
24,4108.846191
25,4107.692383
26,4114.487305
27,4120.512695
28,4123.077148
29,4123.974121
30,4124.615234
31,4126.282227
32,4125.897461
33,4123.077148
34,4118.846191
35,4119.358887
36,4122.179688
37,4120.769043
38,4120.512695
39,4123.333496
40,4125.384766
41,4124.615234
42,4120.384766
43,4122.692383
44,4135.256348
45,4136.025879
46,4122.179688
47,4122.820313
48,4132.563965
49,4125.769043
50,4122.94873
51,4136.794922
52,4139.230957
53,4125.384766
54,4123.846191
55,4137.307617
56,4141.666504
57,4138.077148
58,4137.692383
59,4135.0
60,4127.820313
61,4123.589844
62,4124.230957
63,4131.922852
64,4140.128418
65,4132.179688
66,4125.256348
67,4135.384766
68,4141.153809
69,4135.384766
70,4137.307617
71,4137.94873
72,4128.333496
73,4127.692383
74,4137.563965
75,4140.641113
76,4133.717773
77,4132.436035
78,4138.333496
79,4136.025879
80,4125.641113
81,4122.05127
82,4121.922852
83,4122.05127
84,4132.05127
85,4139.743652
86,4137.179688
87,4138.589844
88,4136.794922
89,4127.179688
90,4135.0
91,4133.974121
92,4135.384766
93,4138.077148
94,4139.487305
95,4137.692383
96,4137.820313
97,4140.128418
98,4138.333496
99,4136.025879
100,4137.436035
101,4140.0
102,4139.102539
103,4133.974121
104,4132.05127
105,4135.384766
106,4137.820313
107,4139.487305
108,4140.128418
109,4137.692383
110,4135.512695
111,4136.666504
112,4136.282227
113,4135.641113
114,4136.025879
115,4137.692383
116,4139.487305
117,4133.717773
118,4123.333496
119,4121.922852
120,4127.820313
121,4130.0
122,4128.846191
123,4129.102539
124,4128.077148
125,4125.0
126,4122.563965
127,4122.05127
128,4121.282227
129,4120.512695
130,4122.563965
131,4127.820313
132,4127.307617
133,4124.358887
134,4131.282227
135,4141.282227
136,4142.179688
137,4139.615234
138,4140.0
139,4140.128418
140,4139.230957
141,4134.230957
142,4129.487305
143,4127.820313
144,4124.102539
145,4121.922852
146,4121.282227
147,4120.512695
148,4126.922852
149,4137.692383
150,4138.974121
151,4138.077148
152,4140.512695
153,4134.615234
154,4125.897461
155,4124.230957
156,4123.461426
157,4120.128418
158,4121.538574
159,4124.102539
160,4119.743652
161,4122.692383
162,4136.538574
163,4142.05127
164,4138.461426
165,4142.563965
166,4144.615234
167,4135.641113
168,4131.410156
169,4129.615234
170,4125.128418
171,4129.230957
172,4139.230957
173,4138.974121
174,4133.846191
175,4137.436035
176,4141.025879
177,4132.563965
178,4124.487305
179,4126.410156
180,4142.692383
181,4139.487305
182,4139.871582
183,4138.717773
184,4136.025879
185,4131.666504
186,4130.512695
187,4133.846191
188,4136.922852
189,4138.974121
190,4141.666504
191,4141.025879
192,4138.461426
193,4138.205078
194,4138.589844
195,4136.410156
196,4135.641113
197,4140.256348
198,4135.256348
199,4123.589844
200,4129.102539
201,4138.846191
202,4136.922852
203,4141.153809
204,4147.820313
205,4140.897461
206,4137.563965
207,4143.333496
208,4143.461426
209,4140.897461
210,4139.102539
211,4138.846191
212,4146.410156
213,4155.897461
214,4156.282227
215,4154.871582
216,4156.282227
217,4154.487305
218,4152.436035
219,4152.436035
220,4151.922852
221,4151.922852
222,4151.153809
223,4150.384766
224,4152.692383
225,4153.589844
226,4150.384766
227,4150.0
228,4152.179688
229,4149.871582
230,4144.615234
231,4141.794922
232,4143.205078
233,4142.692383
234,4140.256348
235,4142.820313
236,4152.436035
237,4157.692383
238,4148.205078
239,4137.307617
240,4138.205078
241,4142.820313
242,4143.333496
243,4143.205078
244,4144.102539
245,4142.05127
246,4142.05127
247,4148.974121
248,4150.128418
249,4142.307617
250,4140.641113
251,4142.820313
252,4138.333496
253,4135.769043
254,4137.05127
255,4136.410156
256,4138.205078
257,4140.0
258,4143.461426
259,4150.641113
260,4154.487305
261,4152.05127
262,4145.256348
263,4140.641113
264,4141.666504
265,4140.769043
266,4134.615234
267,4134.615234
268,4136.794922
269,4133.717773
270,4135.0
271,4135.897461
272,4134.358887
273,4135.0
274,4138.589844
275,4139.487305
276,4137.563965
277,4140.0
278,4142.94873
279,4141.025879
280,4139.230957
281,4136.282227
282,4126.153809
283,4120.512695
284,4124.871582
285,4124.487305
286,4121.282227
287,4124.871582
288,4127.05127
289,4128.717773
290,4134.230957
291,4137.94873
292,4140.256348
293,4142.307617
294,4141.282227
295,4141.794922
296,4144.102539
297,4140.769043
298,4136.538574
299,4137.436035
300,4139.871582
301,4136.410156
302,4129.487305
303,4125.512695
304,4125.897461
305,4126.410156
306,4123.205078
307,4125.641113
308,4137.307617
309,4145.641113
310,4141.794922
311,4138.333496
312,4140.256348
313,4134.487305
314,4125.769043
315,4124.743652
316,4124.358887
317,4121.025879
318,4127.563965
319,4138.461426
320,4138.846191
321,4139.230957
322,4145.128418
323,4143.717773
324,4138.333496
325,4139.230957
326,4131.153809
327,4114.871582
328,4112.307617
329,4121.153809
330,4126.153809
331,4127.94873
332,4131.410156
333,4136.666504
334,4141.794922
335,4143.333496
336,4141.410156
337,4138.077148
338,4134.487305
339,4135.897461
340,4138.717773
341,4139.102539
342,4136.153809
343,4131.025879
344,4131.282227
345,4136.922852
346,4137.563965
347,4134.102539
348,4134.487305
349,4135.512695
350,4137.94873
351,4140.769043
352,4132.563965
353,4119.615234
354,4119.358887
355,4124.615234
356,4125.384766
357,4130.256348
358,4138.205078
359,4140.641113
360,4109.871582
361,4109.871582
362,4101.025879
363,4095.769287
364,4101.538574
365,4100.641113
366,4093.974365
367,4093.589844
368,4092.435791
369,4093.461426
370,4098.589844
371,4095.0
372,4095.384521
373,4103.717773
374,4100.512695
375,4095.512939
376,4098.589844
377,4095.769287
378,4090.0
379,4091.281982
380,4096.538574
381,4104.615234
382,4108.461426
383,4101.922852
384,4099.871582
385,4104.743652
386,4107.179688
387,4113.461426
388,4121.922852
389,4122.692383
390,4118.205078
391,4117.820313
392,4120.128418
393,4120.128418
394,4118.333496
395,4118.717773
396,4126.282227
397,4134.871582
398,4141.922852
399,4145.769043
400,4142.436035
401,4136.025879
402,4137.436035
403,4142.307617
404,4134.871582
405,4127.307617
406,4135.384766
407,4141.538574
408,4130.512695
409,4122.436035
410,4126.410156
411,4127.307617
412,4129.487305
413,4137.436035
414,4141.538574
415,4138.717773
416,4139.102539
417,4144.358887
418,4141.410156
419,4137.820313
420,4146.794922
421,4152.563965
422,4141.410156
423,4136.922852
424,4150.128418
