,set3
0,4138.974121
1,4147.563965
2,4149.743652
3,4144.743652
4,4144.743652
5,4145.512695
6,4141.666504
7,4141.922852
8,4149.871582
9,4152.436035
10,4148.846191
11,4147.179688
12,4146.025879
13,4141.922852
14,4130.769043
15,4126.153809
16,4135.256348
17,4134.487305
18,4129.230957
19,4137.436035
20,4142.563965
21,4134.230957
22,4132.692383
23,4140.256348
24,4137.179688
25,4126.922852
26,4127.436035
27,4141.025879
28,4143.205078
29,4130.769043
30,4126.025879
31,4129.358887
32,4128.846191
33,4126.025879
34,4130.384766
35,4131.282227
36,4129.615234
37,4129.615234
38,4126.282227
39,4126.794922
40,4129.743652
41,4125.897461
42,4129.102539
43,4139.102539
44,4131.538574
45,4117.179688
46,4123.589844
47,4123.333496
48,4110.512695
49,4118.846191
50,4134.358887
51,4124.871582
52,4118.461426
53,4126.794922
54,4119.871582
55,4112.820313
56,4119.102539
57,4115.0
58,4105.641113
59,4107.05127
60,4111.410156
61,4113.461426
62,4115.256348
63,4111.794922
64,4107.436035
65,4109.743652
66,4111.025879
67,4109.358887
68,4106.538574
69,4106.538574
70,4113.077148
71,4120.256348
72,4118.589844
73,4112.563965
74,4111.666504
75,4111.794922
76,4115.384766
77,4116.666504
78,4113.077148
79,4118.589844
80,4128.974121
81,4124.230957
82,4114.743652
83,4116.410156
84,4127.307617
85,4134.743652
86,4131.922852
87,4123.461426
88,4116.025879
89,4113.205078
90,4143.717773
91,4139.743652
92,4136.666504
93,4137.307617
94,4137.307617
95,4139.871582
96,4147.436035
97,4151.282227
98,4148.461426
99,4148.846191
100,4149.615234
101,4144.743652
102,4142.820313
103,4151.153809
104,4158.205078
105,4156.794922
106,4153.974121
107,4155.769043
108,4160.128418
109,4161.922852
110,4153.974121
111,4146.153809
112,4148.717773
113,4151.153809
114,4147.563965
115,4150.128418
116,4156.794922
117,4153.717773
118,4143.205078
119,4135.769043
120,4137.563965
121,4147.692383
122,4148.717773
123,4139.102539
124,4137.94873
125,4140.256348
126,4139.230957
127,4145.0
128,4152.563965
129,4147.436035
130,4136.794922
131,4127.820313
132,4122.563965
133,4123.974121
134,4126.153809
135,4124.487305
136,4126.282227
137,4134.102539
138,4135.897461
139,4132.94873
140,4132.563965
141,4130.256348
142,4123.589844
143,4121.025879
144,4124.871582
145,4128.461426
146,4125.0
147,4122.179688
148,4131.282227
149,4140.512695
150,4131.794922
151,4123.974121
152,4135.384766
153,4142.94873
154,4135.769043
155,4130.128418
156,4131.025879
