,set2
0,4136.410156
1,4137.436035
2,4126.282227
3,4122.820313
4,4128.205078
5,4127.820313
6,4122.436035
7,4121.922852
8,4125.256348
9,4130.0
10,4138.077148
11,4140.384766
12,4129.871582
13,4121.538574
14,4123.846191
15,4124.871582
16,4119.871582
17,4121.153809
18,4126.025879
19,4125.0
20,4121.922852
21,4124.487305
22,4127.179688
23,4126.794922
24,4131.282227
25,4135.641113
26,4135.769043
27,4131.153809
28,4125.897461
29,4119.487305
30,4117.436035
31,4123.461426
32,4125.897461
33,4130.641113
34,4138.589844
35,4138.461426
36,4135.769043
37,4138.589844
38,4139.358887
39,4135.512695
40,4138.205078
41,4141.666504
42,4141.410156
43,4140.897461
44,4140.512695
45,4143.461426
46,4148.589844
47,4140.769043
48,4125.384766
49,4126.025879
50,4139.871582
51,4140.641113
52,4138.974121
53,4148.846191
54,4150.897461
55,4143.589844
56,4146.538574
57,4155.897461
58,4150.641113
59,4140.128418
60,4143.589844
61,4153.205078
62,4157.307617
63,4155.897461
64,4151.538574
65,4148.589844
66,4156.153809
67,4151.025879
68,4136.538574
69,4145.897461
70,4154.487305
71,4140.897461
72,4135.0
73,4141.666504
74,4140.512695
75,4139.743652
76,4141.153809
77,4140.0
78,4140.769043
79,4140.512695
80,4140.384766
81,4143.077148
82,4147.179688
83,4151.538574
84,4152.820313
85,4149.230957
86,4151.666504
87,4154.743652
88,4146.025879
89,4132.94873
90,4141.666504
91,4143.333496
92,4141.410156
93,4137.179688
94,4134.487305
95,4135.641113
96,4135.384766
97,4134.102539
98,4132.94873
99,4136.794922
100,4139.743652
101,4132.05127
102,4127.820313
103,4136.666504
104,4138.846191
105,4128.589844
106,4125.384766
107,4127.436035
108,4130.256348
109,4136.410156
110,4138.589844
111,4137.692383
112,4136.410156
113,4133.717773
114,4135.256348
115,4138.077148
116,4136.794922
117,4144.102539
118,4156.538574
119,4153.717773
120,4147.436035
121,4153.846191
122,4153.717773
123,4147.179688
124,4151.794922
125,4150.384766
126,4144.230957
127,4151.410156
128,4153.717773
129,4139.102539
130,4139.487305
131,4156.922852
132,4159.230957
133,4149.871582
134,4152.179688
135,4155.256348
136,4141.282227
137,4136.794922
138,4153.461426
139,4157.307617
140,4143.205078
141,4137.820313
142,4141.410156
143,4144.871582
144,4150.512695
145,4154.615234
146,4153.589844
147,4154.230957
148,4154.487305
149,4146.025879
150,4141.025879
151,4149.615234
152,4153.461426
153,4147.563965
