,set3
0,4138.974121
1,4137.05127
2,4135.897461
3,4126.153809
4,4118.846191
5,4123.974121
6,4127.307617
7,4122.179688
8,4121.538574
9,4122.563965
10,4116.410156
11,4110.897461
12,4112.820313
13,4112.94873
14,4108.717773
15,4111.794922
16,4120.128418
17,4122.692383
18,4119.871582
19,4114.615234
20,4109.615234
21,4108.974121
22,4111.538574
23,4113.205078
24,4113.333496
25,4112.179688
26,4114.358887
27,4122.307617
28,4126.025879
29,4123.205078
30,4121.794922
31,4121.794922
32,4122.179688
33,4123.077148
34,4123.461426
35,4125.641113
36,4127.179688
37,4126.410156
38,4128.333496
39,4129.102539
40,4124.358887
41,4122.692383
42,4127.563965
43,4129.230957
44,4126.922852
45,4127.563965
46,4130.0
47,4129.487305
48,4128.333496
49,4128.589844
50,4127.436035
51,4126.025879
52,4125.384766
53,4123.974121
54,4124.871582
55,4129.615234
56,4130.897461
57,4129.230957
58,4130.769043
59,4135.641113
60,4138.717773
61,4132.94873
62,4122.692383
63,4121.794922
64,4126.282227
65,4124.743652
66,4122.94873
67,4125.0
68,4125.0
69,4125.256348
70,4125.0
71,4123.717773
72,4124.102539
73,4122.436035
74,4124.871582
75,4133.589844
76,4138.205078
77,4145.256348
78,4162.179688
79,4173.461426
80,4175.512695
81,4177.692383
82,4176.794922
83,4173.461426
84,4171.922852
85,4167.692383
86,4167.563965
87,4167.563965
88,4158.077148
89,4148.974121
90,4101.153809
91,4099.358887
92,4103.077148
93,4106.666504
94,4105.897461
95,4104.487305
96,4106.538574
97,4109.487305
98,4109.615234
99,4106.025879
100,4105.512695
101,4107.307617
102,4106.794922
103,4105.897461
104,4106.410156
105,4105.128418
106,4104.230957
107,4106.538574
108,4106.922852
109,4106.153809
110,4107.563965
111,4107.820313
112,4107.179688
113,4107.179688
114,4106.538574
115,4103.846191
116,4104.871582
117,4107.563965
118,4108.370117
119,4109.175781
120,4109.981445
121,4110.787598
122,4111.593262
123,4112.399414
124,4113.205078
125,4108.717773
126,4107.307617
127,4107.94873
128,4107.820313
129,4107.436035
130,4107.307617
131,4107.94873
132,4108.205078
133,4106.794922
134,4109.230957
135,4113.205078
