,set1
0,4109.615234
1,4097.307617
2,4117.692383
3,4126.538574
4,4108.205078
5,4104.743652
6,4111.538574
7,4105.512695
8,4096.922852
9,4093.333252
10,4083.205078
11,4073.076904
12,4076.538574
13,4079.102539
14,4064.358887
15,4048.718018
16,4054.358887
17,4066.025635
18,4062.692383
19,4056.281982
20,4058.076904
21,4061.281982
22,4054.102539
23,4035.512939
24,4029.487061
25,4040.769287
26,4038.974365
27,4027.05127
28,4024.487061
29,4017.307617
30,3998.846191
31,3992.820557
32,3996.666748
33,3984.358887
34,3968.076904
35,3977.435791
36,3994.871826
37,3988.076904
38,3967.820557
39,3957.05127
40,3948.461426
41,3940.512939
42,3934.102539
43,3932.564209
44,3942.692383
45,3941.153809
46,3912.94873
47,3904.615479
48,3922.307617
49,3911.923096
50,3895.641113
51,3908.718018
52,3907.307617
53,3879.230713
54,3870.769287
55,3881.153809
56,3876.153809
57,3865.256348
58,3864.743652
59,3861.666748
60,3850.0
61,3844.871826
62,3846.666748
63,3845.897461
64,3845.897461
65,3841.794922
66,3824.743652
67,3810.897461
68,3815.128174
69,3820.897461
70,3808.205078
71,3797.820557
72,3809.743652
73,3822.05127
74,3819.102539
75,3808.718018
76,3799.743652
77,3797.179443
78,3800.128174
79,3805.641113
80,3814.487061
81,3819.487061
82,3811.281982
83,3802.05127
84,3795.769287
85,3790.256348
86,3790.641113
87,3796.281982
88,3802.435791
89,3798.589844
90,4307.94873
91,4297.179688
92,4252.94873
93,4285.641113
94,4335.384766
95,4328.974121
96,4321.794922
97,4323.589844
98,4318.589844
99,4324.102539
100,4330.256348
101,4331.025879
102,4350.256348
103,4357.692383
104,4343.974121
105,4345.769043
106,4354.102539
107,4357.307617
108,4365.0
109,4367.94873
110,4365.512695
111,4367.307617
112,4370.512695
113,4375.384766
114,4384.871582
115,4382.563965
116,4377.692383
117,4372.692383
118,4360.769043
119,4360.641113
120,4370.769043
121,4375.256348
122,4382.307617
123,4382.692383
124,4366.025879
125,4364.102539
126,4368.846191
127,4356.410156
128,4362.179688
129,4379.871582
130,4373.589844
131,4365.128418
132,4374.871582
133,4376.025879
134,4370.384766
135,4380.512695
136,4390.897461
137,4381.153809
138,4363.205078
139,4363.974121
140,4384.743652
141,4400.641113
142,4389.487305
143,4372.05127
144,4373.974121
145,4385.0
146,4375.512695
147,4357.179688
148,4374.615234
149,4401.410156
150,4395.897461
151,4387.307617
152,4391.025879
153,4385.769043
154,4380.512695
155,4381.538574
156,4381.153809
157,4398.461426
158,4407.820313
159,4390.256348
160,4390.512695
161,4403.077148
162,4391.153809
163,4382.820313
164,4391.794922
165,4382.820313
166,4378.333496
167,4400.384766
168,4404.230957
169,4382.820313
170,4369.230957
171,4371.410156
172,4378.205078
173,4380.641113
174,4375.512695
175,4370.641113
176,4371.538574
177,4373.974121
178,4372.820313
179,4371.153809
180,3971.410156
181,3957.94873
182,3965.256348
183,3975.384521
184,3960.0
185,3947.307617
186,3960.256348
187,3962.307617
188,3950.128174
189,3958.718018
190,3970.128174
191,3953.589844
192,3933.718018
193,3947.564209
194,3962.179443
195,3944.487061
196,3930.769287
197,3940.0
198,3947.179443
199,3942.564209
200,3940.769287
201,3945.0
202,3938.333252
203,3925.384521
204,3932.179443
205,3941.281982
206,3931.281982
207,3930.512939
208,3945.512939
209,3947.820557
210,3943.076904
211,3938.589844
212,3928.589844
