,set2
0,17.405638435876124
1,15.608265257078768
2,15.172231434221564
3,15.149640669958451
4,15.032190114164594
5,14.526542166862251
6,14.475590779860672
7,14.133125483418418
8,13.941680401743312
9,13.712118433105688
10,13.525846959138423
11,13.509741588740628
12,13.113869971257875
13,13.192813150632128
14,12.879417942088084
15,12.693960994703158
16,12.864451294463285
17,12.576482752958558
18,12.73475544706837
19,12.463653824229022
20,12.62812551524959
21,12.686305749215837
22,12.545427660165169
23,12.451383827730002
24,12.220709699342116
25,12.41210965314961
26,12.49255672039166
27,12.229904663413537
28,12.406271734804369
29,12.293969390942571
30,12.398886969574406
31,12.143502682361008
32,12.025380244242609
33,11.953116006114708
34,12.22212376487104
35,12.03600470001822
36,12.114302904089564
37,12.15141968519171
38,12.005986246374771
39,11.944635023423668
40,11.9122451777655
41,11.874313133581143
42,11.992544516438112
43,12.057863331343048
44,11.948046260394465
45,12.20842705368781
46,12.31360882547754
47,12.353887937015164
48,12.38484055657388
49,12.090106503556084
50,12.26994459274988
51,12.35595213377033
52,12.226308546370468
53,12.026115108253888
54,11.94815700765304
55,11.89185449016646
56,12.001832670071645
57,12.043303762110332
58,11.923469617105235
59,11.876961827601605
60,11.84697998440268
61,12.13097651171467
62,12.26957615372719
63,12.046755237640111
64,15.56703054456642
65,14.79434444598598
66,14.817656006986262
67,14.83825048069094
68,14.663436296188678
69,14.502113670080508
70,14.531532023577682
71,14.33890263368443
72,14.17518251100286
73,14.243419266646267
74,14.219434597025568
75,14.0213202613998
76,13.769638234112314
77,13.601376183318456
78,13.48702621488538
79,13.58401072160854
80,13.600174107306485
81,13.43741936399392
82,13.51815763426471
83,13.354196126662284
84,13.273535554916627
85,13.403904616815966
86,13.571863357679913
87,13.531418468258234
88,13.472760706128762
89,13.57497210190246
90,13.344718601806948
91,13.53385699463203
92,13.449336896362066
93,13.573289121382215
94,13.48830935284208
95,13.59640459941115
96,13.498303790195642
97,13.274589811380682
98,13.328130647459194
99,13.20860788384882
100,13.298745332673343
101,13.191774447842462
102,13.163751544808676
103,13.27432208156586
104,13.464376159344642
105,13.598195244824376
106,13.47565682915612
107,13.577892729115408
108,13.359856276784184
109,13.26093767512166
110,13.361806005860108
111,13.561937933093198
112,13.312677059002796
113,13.350325923342012
114,13.201727340835808
115,13.283777492137991
116,13.324787947003982
117,13.236711892967046
118,13.461664203733672
119,13.297079792993664
120,13.3375593650694
121,13.21658843636922
122,13.314865611267392
123,13.213480356679538
124,13.303376373259011
125,13.520957956890117
126,13.602661977539654
127,13.681866143394505
128,17.45176865826626
129,17.460251478773284
130,17.40359117484792
131,17.349656007981526
